family,canonical_family,n,baseline_passed,rlvr_passed,baseline_pass_rate,rlvr_pass_rate,improved,regressed,both_pass,both_fail
belt_pulley_ratio,belt,6,1,6,0.16666666666666666,1.0,5,0,1,0
bevel_gear_ratio_analytic,bevel_gear_ratio_analytic,6,4,6,0.6666666666666666,1.0,2,0,4,0
chain_sprocket_ratio,chain,6,0,6,0.0,1.0,6,0,0,0
compound_gear_ratio_analytic,compound_gear_ratio_analytic,6,0,6,0.0,1.0,6,0,0,0
fourbar_crank_rocker_sweep,fourbar,6,6,6,1.0,1.0,0,0,6,0
fourbar_pump_handle,fourbar,6,3,6,0.5,1.0,3,0,3,0
idler_gear_direction_analytic,idler_gear_direction_analytic,6,2,6,0.3333333333333333,1.0,4,0,2,0
lead_screw_linear_travel,lead_screw,6,2,6,0.3333333333333333,1.0,4,0,2,0
planetary_fixed_ring_ratio_analytic,planetary,6,2,6,0.3333333333333333,1.0,4,0,2,0
planetary_fixed_sun_ratio_analytic,planetary,6,0,4,0.0,0.6666666666666666,4,0,0,2
rack_pinion_conversion,rack_pinion,6,5,6,0.8333333333333334,1.0,1,0,5,0
rack_pinion_force_direction,rack_pinion,6,6,6,1.0,1.0,0,0,6,0
reciprocating_pump_plunger,reciprocating_pump_plunger,6,0,6,0.0,1.0,6,0,0,0
rocker_limit_stop_topology,rocker_limit_stop_topology,6,0,6,0.0,1.0,6,0,0,0
slider_crank_quick_return_proxy,slider_crank,6,0,6,0.0,1.0,6,0,0,0
slider_crank_stroke,slider_crank,6,0,6,0.0,1.0,6,0,0,0
slider_crank_stroke_precision,slider_crank,6,0,6,0.0,1.0,6,0,0,0
spur_gear_ratio_analytic,spur_gear_ratio_analytic,6,6,6,1.0,1.0,0,0,6,0
timing_belt_center_distance,belt,6,0,2,0.0,0.3333333333333333,2,0,0,4
toggle_overcenter_margin,toggle_overcenter_margin,6,3,6,0.5,1.0,3,0,3,0
worm_gear_ratio_analytic,worm_gear_ratio_analytic,6,0,6,0.0,1.0,6,0,0,0
