x_mm,y_mm
49.897852,39.968092
50.280755,40.592022
50.638284,41.205951
50.969336,41.809249
51.272860,42.401332
51.547867,42.981660
51.793437,43.549734
52.008722,44.105093
52.192959,44.647311
52.345467,45.175994
52.465657,45.690778
52.553034,46.191321
52.607197,46.677303
52.627844,47.148422
52.614768,47.604387
52.567862,48.044921
52.487113,48.469752
52.372601,48.878612
52.224502,49.271239
52.043075,49.647370
51.828670,50.006742
51.581713,50.349088
51.302713,50.674144
50.992247,50.981639
50.650964,51.271303
50.279577,51.542863
49.878857,51.796044
49.449631,52.030574
48.992778,52.246180
48.509222,52.442594
47.999929,52.619549
47.465904,52.776788
46.908187,52.914059
46.327847,53.031121
45.725980,53.127745
45.103706,53.203713
44.462166,53.258825
43.802517,53.292897
43.125930,53.305763
42.433589,53.297277
41.726687,53.267317
41.006421,53.215784
40.273994,53.142601
39.530612,53.047721
38.777478,52.931121
38.015795,52.792809
37.246760,52.632820
36.471567,52.451221
35.691399,52.248108
34.907431,52.023610
34.120828,51.777887
33.332741,51.511131
32.544309,51.223567
31.756653,50.915452
30.970880,50.587076
30.188077,50.238762
29.409313,49.870863
28.635636,49.483767
27.868073,49.077891
27.107628,48.653684
26.355280,48.211627
25.611985,47.752228
24.878673,47.276026
24.156246,46.783586
23.445580,46.275503
22.747521,45.752396
22.062887,45.214910
21.392466,44.663714
20.737016,44.099498
20.097261,43.522975
19.473897,42.934878
18.867586,42.335959
18.278956,41.726984
17.708605,41.108738
17.157095,40.482020
16.624955,39.847640
16.112681,39.206421
15.620735,38.559192
15.149543,37.906794
14.699501,37.250072
14.270967,36.589877
13.864268,35.927062
13.479697,35.262482
13.117512,34.596993
12.777939,33.931448
12.461174,33.266699
12.167378,32.603592
11.896682,31.942969
11.649184,31.285665
11.424954,30.632505
11.224031,29.984308
11.046427,29.341880
10.892123,28.706017
10.761074,28.077501
10.653209,27.457103
10.568430,26.845578
10.506615,26.243667
10.467617,25.652095
10.451268,25.071571
10.457375,24.502787
10.485727,23.946418
10.536089,23.403121
10.608210,22.873536
10.701820,22.358282
10.816629,21.857962
10.952334,21.373158
11.108614,20.904435
11.285135,20.452335
11.481548,20.017384
11.697492,19.600087
11.932595,19.200928
12.186472,18.820374
12.458730,18.458868
12.748965,18.116837
13.056767,17.794686
13.381716,17.492798
13.723387,17.211540
14.081349,16.951255
14.455165,16.712266
14.844396,16.494877
15.248598,16.299370
15.667324,16.126007
16.100126,15.975027
16.546554,15.846649
17.006158,15.741071
17.478489,15.658469
17.963098,15.598995
18.459536,15.562781
18.967358,15.549936
19.486121,15.560543
20.015385,15.594664
20.554713,15.652337
21.103672,15.733574
21.661834,15.838363
22.228774,15.966664
22.804074,16.118414
23.387317,16.293520
23.978094,16.491863
24.576001,16.713295
25.180635,16.957637
25.791601,17.224682
26.408505,17.514193
27.030958,17.825898
27.658573,18.159494
28.290964,18.514645
28.927747,18.890980
29.568535,19.288094
30.212942,19.705544
30.860575,20.142851
31.511038,20.599501
32.163928,21.074938
32.818830,21.568571
33.475319,22.079769
34.132956,22.607861
34.791284,23.152140
35.449827,23.711858
36.108085,24.286231
36.765534,24.874435
37.421620,25.475612
38.075760,26.088870
38.727333,26.713282
39.375683,27.347893
40.020114,27.991716
40.659887,28.643744
41.294222,29.302944
41.922290,29.968268
42.543217,30.638652
43.156084,31.313024
43.759923,31.990306
44.353723,32.669423
44.936427,33.349302
45.506941,34.028882
46.064129,34.707119
46.606826,35.382988
47.133839,36.055489
47.643950,36.723653
48.135931,37.386547
48.608543,38.043271
49.060549,38.692972
49.490722,39.334834
