x_mm,y_mm
25.663107,53.351358
26.375678,54.487735
27.068643,55.613921
27.739744,56.727770
28.386721,57.827253
29.007340,58.910467
29.599418,59.975644
30.160838,61.021156
30.689581,62.045512
31.183734,63.047362
31.641518,64.025488
32.061296,64.978804
32.441588,65.906347
32.781083,66.807266
33.078643,67.680815
33.333308,68.526343
33.544300,69.343285
33.711023,70.131147
33.833055,70.889501
33.910154,71.617976
33.942241,72.316245
33.929403,72.984022
33.871878,73.621051
33.770049,74.227104
33.624436,74.801974
33.435683,75.345472
33.204552,75.857420
32.931912,76.337656
32.618727,76.786024
32.266051,77.202381
31.875015,77.586590
31.446824,77.938524
30.982740,78.258067
30.484085,78.545109
29.952224,78.799557
29.388566,79.021327
28.794553,79.210353
28.171655,79.366582
27.521366,79.489982
26.845198,79.580539
26.144676,79.638262
25.421334,79.663181
24.676713,79.655355
23.912352,79.614866
23.129791,79.541827
22.330563,79.436379
21.516194,79.298694
20.688199,79.128976
19.848078,78.927463
18.997318,78.694426
18.137385,78.430172
17.269725,78.135041
16.395765,77.809410
15.516903,77.453692
14.634516,77.068337
13.749949,76.653829
12.864522,76.210689
11.979522,75.739475
11.096206,75.240778
10.215795,74.715226
9.339478,74.163478
8.468410,73.586229
7.603706,72.984205
6.746448,72.358163
5.897675,71.708890
5.058393,71.037202
4.229564,70.343940
3.412113,69.629973
2.606925,68.896192
1.814842,68.143511
1.036668,67.372863
0.273167,66.585201
-0.474940,65.781491
-1.206969,64.962717
-1.922280,64.129871
-2.620268,63.283959
-3.300370,62.425990
-3.962060,61.556983
-4.604848,60.677958
-5.228283,59.789936
-5.831948,58.893939
-6.415461,57.990984
-6.978472,57.082084
-7.520666,56.168247
-8.041755,55.250471
-8.541483,54.329746
-9.019621,53.407048
-9.475968,52.483344
-9.910348,51.559585
-10.322608,50.636707
-10.712618,49.715634
-11.080272,48.797271
-11.425482,47.882508
-11.748180,46.972217
-12.048314,46.067255
-12.325853,45.168463
-12.580780,44.276663
-12.813092,43.392664
-13.022804,42.517256
-13.209942,41.651217
-13.374547,40.795309
-13.516673,39.950282
-13.636386,39.116873
-13.733765,38.295804
-13.808900,37.487791
-13.861893,36.693536
-13.892860,35.913734
-13.901927,35.149070
-13.889231,34.400222
-13.854922,33.667863
-13.799163,32.952656
-13.722126,32.255263
-13.623998,31.576339
-13.504974,30.916535
-13.365265,30.276498
-13.205092,29.656873
-13.024689,29.058302
-12.824299,28.481423
-12.604180,27.926872
-12.364600,27.395284
-12.105839,26.887288
-11.828186,26.403514
-11.531945,25.944589
-11.217425,25.511135
-10.884949,25.103772
-10.534847,24.723116
-10.167458,24.369780
-9.783130,24.044372
-9.382217,23.747493
-8.965080,23.479741
-8.532085,23.241704
-8.083603,23.033966
-7.620008,22.857100
-7.141678,22.711669
-6.648990,22.598226
-6.142323,22.517313
-5.622053,22.469455
-5.088556,22.455165
-4.542202,22.474938
-3.983359,22.529249
-3.412386,22.618552
-2.829635,22.743278
-2.235452,22.903833
-1.630171,23.100593
-1.014115,23.333902
-0.387596,23.604068
0.249085,23.911362
0.895642,24.256010
1.551802,24.638194
2.217303,25.058040
2.891899,25.515619
3.575354,26.010943
4.267443,26.543951
4.967952,27.114513
5.676673,27.722417
6.393401,28.367366
7.117934,29.048970
7.850064,29.766742
8.589575,30.520088
9.336236,31.308302
10.089796,32.130563
10.849973,32.985926
11.616448,33.873317
12.388859,34.791535
13.166784,35.739241
13.949737,36.714962
14.737158,37.717090
15.528399,38.743884
16.322717,39.793473
17.119263,40.863863
17.917074,41.952944
18.715066,43.058500
19.512030,44.178225
20.306625,45.309730
21.097377,46.450568
21.882686,47.598245
22.660821,48.750244
23.429935,49.904042
24.188070,51.057133
24.933172,52.207043
