x_mm,y_mm
53.864075,25.767851
54.021337,26.136347
54.169405,26.502856
54.308150,26.867318
54.437447,27.229677
54.557180,27.589876
54.667237,27.947864
54.767514,28.303588
54.857915,28.656998
54.938348,29.008045
55.008733,29.356682
55.068994,29.702861
55.119063,30.046536
55.158882,30.387660
55.188398,30.726187
55.207568,31.062072
55.216354,31.395268
55.214729,31.725727
55.202672,32.053402
55.180169,32.378246
55.147215,32.700208
55.103813,33.019238
55.049971,33.335286
54.985706,33.648297
54.911042,33.958218
54.826010,34.264992
54.730648,34.568564
54.625000,34.868873
54.509116,35.165860
54.383054,35.459463
54.246877,35.749617
54.100655,36.036257
53.944462,36.319317
53.778378,36.598728
53.602491,36.874420
53.416889,37.146320
53.221670,37.414357
53.016934,37.678456
52.802786,37.938540
52.579335,38.194534
52.346695,38.446359
52.104984,38.693935
51.854324,38.937184
51.594838,39.176023
51.326656,39.410373
51.049910,39.640149
50.764733,39.865271
50.471265,40.085655
50.169645,40.301217
49.860016,40.511875
49.542526,40.717545
49.217320,40.918143
48.884550,41.113588
48.544369,41.303796
48.196930,41.488685
47.842390,41.668173
47.480907,41.842180
47.112640,42.010625
46.737751,42.173430
46.356402,42.330515
45.968758,42.481805
45.574984,42.627223
45.175245,42.766696
44.769710,42.900149
44.358546,43.027511
43.941924,43.148713
43.520014,43.263687
43.092986,43.372365
42.661013,43.474683
42.224266,43.570580
41.782920,43.659994
41.337146,43.742866
40.887119,43.819141
40.433013,43.888764
39.975003,43.951684
39.513264,44.007851
39.047970,44.057217
38.579298,44.099739
38.107422,44.135374
37.632517,44.164082
37.154759,44.185828
36.674324,44.200575
36.191387,44.208293
35.706122,44.208952
35.218705,44.202527
34.729310,44.188994
34.238111,44.168333
33.745284,44.140525
33.251001,44.105555
32.755435,44.063412
32.258760,44.014087
31.761148,43.957573
31.262770,43.893866
30.763797,43.822968
30.264400,43.744879
29.764749,43.659607
29.265013,43.567159
28.765359,43.467546
28.265956,43.360784
27.766970,43.246891
27.268566,43.125885
26.770909,42.997792
26.274164,42.862637
25.778491,42.720449
25.284054,42.571262
24.791013,42.415111
24.299526,42.252033
23.809752,42.082071
23.321848,41.905268
22.835969,41.721672
22.352269,41.531331
21.870902,41.334300
21.392018,41.130634
20.915767,40.920391
20.442299,40.703633
19.971759,40.480424
19.504293,40.250830
19.040045,40.014921
18.579157,39.772770
18.121768,39.524450
17.668018,39.270041
17.218044,39.009621
16.771979,38.743274
16.329958,38.471085
15.892112,38.193141
15.458569,37.909532
15.029457,37.620352
14.604901,37.325694
14.185025,37.025656
13.769950,36.720338
13.359794,36.409840
12.954675,36.094268
12.554708,35.773726
12.160004,35.448323
11.770674,35.118169
11.386827,34.783375
11.008567,34.444056
10.635998,34.100327
10.269222,33.752305
9.908337,33.400110
9.553438,33.043863
9.204621,32.683686
8.861976,32.319703
8.525592,31.952040
8.195556,31.580823
7.871951,31.206180
7.554859,30.828242
7.244358,30.447138
6.940525,30.063001
6.643434,29.675963
6.353154,29.286159
6.069756,28.893723
5.793304,28.498791
5.523862,28.101500
5.261490,27.701986
5.006246,27.300388
4.758186,26.896843
4.517362,26.491492
4.283824,26.084473
4.057619,25.675926
3.838791,25.265991
3.627384,24.854809
3.423436,24.442520
3.226983,24.029263
3.038061,23.615181
2.856700,23.200413
2.682929,22.785100
2.516774,22.369381
2.358260,21.953397
2.207407,21.537288
2.064233,21.121192
1.928755,20.705248
1.800986,20.289595
1.680936,19.874371
1.568615,19.459711
1.464029,19.045754
1.367180,18.632634
1.278070,18.220486
1.196697,17.809445
1.123059,17.399644
1.057149,16.991215
0.998958,16.584289
0.948477,16.178996
0.905692,15.775467
0.870588,15.373828
0.843149,14.974208
0.823354,14.576731
0.811182,14.181523
0.806610,13.788706
0.809612,13.398404
0.820161,13.010737
0.838226,12.625823
0.863776,12.243783
0.896778,11.864732
0.937195,11.488785
0.984992,11.116058
1.040128,10.746662
1.102564,10.380708
1.172255,10.018307
1.249159,9.659566
1.333229,9.304593
1.424418,8.953491
1.522675,8.606367
1.627952,8.263320
1.740195,7.924452
1.859350,7.589863
1.985363,7.259650
2.118176,6.933908
2.257732,6.612733
2.403972,6.296217
2.556834,5.984453
2.716257,5.677528
2.882177,5.375533
3.054531,5.078553
3.233252,4.786675
3.418274,4.499980
3.609528,4.218552
3.806947,3.942471
4.010460,3.671815
4.219995,3.406662
4.435482,3.147087
4.656846,2.893165
4.884015,2.644968
5.116914,2.402567
5.355467,2.166031
5.599597,1.935428
5.849227,1.710824
6.104280,1.492284
6.364677,1.279870
6.630338,1.073643
6.901183,0.873663
7.177132,0.679988
7.458104,0.492675
7.744016,0.311778
8.034786,0.137350
8.330332,-0.030558
8.630569,-0.191895
8.935415,-0.346614
9.244784,-0.494668
9.558592,-0.636014
9.876755,-0.770606
10.199186,-0.898406
10.525800,-1.019373
10.856511,-1.133468
11.191233,-1.240658
11.529879,-1.340906
11.872363,-1.434181
12.218599,-1.520452
12.568498,-1.599689
12.921975,-1.671867
13.278941,-1.736960
13.639311,-1.794945
14.002996,-1.845800
14.369910,-1.889505
14.739965,-1.926043
15.113074,-1.955398
15.489151,-1.977557
15.868108,-1.992507
16.249858,-2.000239
16.634315,-2.000745
17.021393,-1.994019
17.411005,-1.980058
17.803065,-1.958860
18.197487,-1.930424
18.594185,-1.894755
18.993075,-1.851855
19.394071,-1.801734
19.797088,-1.744398
20.202043,-1.679860
20.608850,-1.608133
21.017426,-1.529233
21.427688,-1.443178
21.839552,-1.349988
22.252936,-1.249686
22.667757,-1.142297
23.083934,-1.027848
23.501384,-0.906371
23.920027,-0.777895
24.339781,-0.642458
24.760566,-0.500095
25.182301,-0.350848
25.604907,-0.194757
26.028304,-0.031869
26.452412,0.137769
26.877152,0.314106
27.302447,0.497091
27.728215,0.686666
28.154381,0.882774
28.580864,1.085354
29.007587,1.294341
29.434471,1.509670
29.861439,1.731270
30.288412,1.959069
30.715311,2.192993
31.142059,2.432962
31.568576,2.678897
31.994784,2.930714
32.420602,3.188326
32.845952,3.451643
33.270753,3.720573
33.694923,3.995021
34.118381,4.274889
34.541046,4.560076
34.962832,4.850478
35.383657,5.145989
35.803434,5.446498
36.222077,5.751895
36.639498,6.062063
37.055608,6.376885
37.470315,6.696242
37.883528,7.020010
38.295151,7.348064
38.705090,7.680277
39.113244,8.016517
39.519515,8.356654
39.923799,8.700552
40.325991,9.048076
40.725985,9.399085
41.123670,9.753441
41.518934,10.111002
41.911660,10.471623
42.301732,10.835159
42.689027,11.201466
43.073422,11.570395
43.454788,11.941798
43.832997,12.315526
44.207913,12.691431
44.579400,13.069362
44.947318,13.449169
45.311524,13.830703
45.671871,14.213814
46.028209,14.598354
46.380386,14.984174
46.728245,15.371126
47.071628,15.759065
47.410373,16.147846
47.744315,16.537326
48.073287,16.927363
48.397120,17.317818
48.715642,17.708553
49.028679,18.099435
49.336056,18.490331
49.637595,18.881112
49.933117,19.271652
50.222444,19.661826
50.505396,20.051516
50.781791,20.440604
51.051449,20.828978
51.314191,21.216527
51.569836,21.603146
51.818207,21.988731
52.059125,22.373185
52.292417,22.756413
52.517909,23.138322
52.735431,23.518825
52.944815,23.897838
53.145898,24.275281
53.338519,24.651076
53.522523,25.025149
53.697757,25.397430
