x_mm,y_mm
37.564895,34.532617
37.786672,34.982568
38.001110,35.430391
38.208030,35.875942
38.407255,36.319082
38.598611,36.759673
38.781929,37.197585
38.957045,37.632690
39.123799,38.064865
39.282036,38.493992
39.431607,38.919957
39.572371,39.342650
39.704190,39.761964
39.826936,40.177796
39.940485,40.590049
40.044722,40.998627
40.139538,41.403438
40.224834,41.804394
40.300516,42.201410
40.366499,42.594401
40.422708,42.983290
40.469072,43.367997
40.505531,43.748447
40.532033,44.124568
40.548534,44.496288
40.554997,44.863538
40.551395,45.226249
40.537708,45.584355
40.513925,45.937790
40.480041,46.286491
40.436061,46.630395
40.381996,46.969438
40.317866,47.303559
40.243698,47.632697
40.159525,47.956791
40.065389,48.275782
39.961338,48.589610
39.847426,48.898215
39.723715,49.201537
39.590271,49.499518
39.447169,49.792100
39.294489,50.079222
39.132314,50.360827
38.960736,50.636855
38.779851,50.907249
38.589760,51.171950
38.390568,51.430900
38.182386,51.684041
37.965328,51.931313
37.739515,52.172661
37.505068,52.408026
37.262115,52.637352
37.010786,52.860580
36.751216,53.077656
36.483542,53.288522
36.207904,53.493123
35.924445,53.691404
35.633313,53.883311
35.334655,54.068790
35.028623,54.247788
34.715370,54.420252
34.395052,54.586133
34.067827,54.745378
33.733854,54.897940
33.393295,55.043770
33.046312,55.182820
32.693071,55.315046
32.333737,55.440402
31.968477,55.558845
31.597459,55.670334
31.220853,55.774829
30.838829,55.872290
30.451558,55.962681
30.059212,56.045967
29.661964,56.122113
29.259986,56.191087
28.853453,56.252861
28.442538,56.307405
28.027416,56.354693
27.608261,56.394701
27.185249,56.427407
26.758553,56.452791
26.328350,56.470834
25.894814,56.481521
25.458119,56.484838
25.018440,56.480774
24.575952,56.469320
24.130829,56.450467
23.683244,56.424213
23.233371,56.390555
22.781383,56.349493
22.327452,56.301029
21.871749,56.245169
21.414447,56.181919
20.955715,56.111291
20.495722,56.033296
20.034639,55.947948
19.572633,55.855266
19.109870,55.755269
18.646519,55.647980
18.182743,55.533422
17.718707,55.411625
17.254574,55.282617
16.790506,55.146431
16.326665,55.003102
15.863209,54.852667
15.400298,54.695167
14.938087,54.530643
14.476735,54.359141
14.016394,54.180709
13.557218,53.995395
13.099358,53.803253
12.642965,53.604337
12.188187,53.398704
11.735171,53.186415
11.284062,52.967531
10.835006,52.742116
10.388142,52.510237
9.943613,52.271964
9.501556,52.027367
9.062110,51.776521
8.625407,51.519500
8.191583,51.256383
7.760768,50.987250
7.333093,50.712184
6.908683,50.431269
6.487666,50.144591
6.070165,49.852239
5.656301,49.554303
5.246195,49.250876
4.839963,48.942053
4.437721,48.627928
4.039583,48.308601
