x_mm,y_mm
43.592914,69.664748
44.246239,70.242017
44.895367,70.811970
45.539571,71.374276
46.178123,71.928630
46.810294,72.474752
47.435362,73.012388
48.052606,73.541309
48.661319,74.061312
49.260803,74.572219
49.850374,75.073877
50.429366,75.566158
50.997130,76.048957
51.553039,76.522194
52.096488,76.985808
52.626898,77.439761
53.143714,77.884034
53.646410,78.318626
54.134489,78.743553
54.607481,79.158848
55.064949,79.564556
55.506487,79.960736
55.931718,80.347459
56.340298,80.724802
56.731916,81.092856
57.106289,81.451714
57.463170,81.801478
57.802337,82.142253
58.123604,82.474147
58.426810,82.797270
58.711826,83.111733
58.978550,83.417649
59.226907,83.715128
59.456848,84.004277
59.668350,84.285204
59.861414,84.558011
60.036063,84.822798
60.192343,85.079660
60.330322,85.328688
60.450085,85.569966
60.551737,85.803576
60.635402,86.029591
60.701219,86.248081
60.749342,86.459109
60.779941,86.662732
60.793198,86.859003
60.789308,87.047966
60.768479,87.229662
60.730926,87.404125
60.676878,87.571385
60.606570,87.731464
60.520247,87.884382
60.418160,88.030151
60.300568,88.168782
60.167736,88.300277
60.019932,88.424638
59.857433,88.541861
59.680518,88.651938
59.489469,88.754859
59.284572,88.850610
59.066118,88.939175
58.834398,89.020534
58.589705,89.094667
58.332335,89.161548
58.062584,89.221155
57.780750,89.273460
57.487132,89.318435
57.182028,89.356052
56.865738,89.386281
56.538560,89.409094
56.200792,89.424460
55.852734,89.432349
55.494683,89.432731
55.126936,89.425579
54.749787,89.410863
54.363533,89.388555
53.968465,89.358630
53.564877,89.321062
53.153059,89.275828
52.733299,89.222905
52.305885,89.162273
51.871102,89.093914
51.429233,89.017810
50.980560,88.933949
50.525362,88.842317
50.063917,88.742906
49.596499,88.635708
49.123382,88.520720
48.644836,88.397940
48.161130,88.267368
47.672528,88.129010
47.179296,87.982872
46.681692,87.828966
46.179976,87.667305
45.674404,87.497905
45.165228,87.320787
44.652699,87.135974
44.137064,86.943494
43.618568,86.743377
43.097454,86.535656
42.573960,86.320370
42.048323,86.097559
41.520776,85.867267
40.991551,85.629545
40.460873,85.384442
39.928968,85.132015
39.396056,84.872324
38.862357,84.605430
38.328085,84.331402
37.793451,84.050308
37.258666,83.762224
36.723933,83.467226
36.189455,83.165397
35.655431,82.856821
35.122056,82.541586
34.589522,82.219786
34.058018,81.891515
33.527727,81.556873
32.998833,81.215963
32.471512,80.868891
31.945939,80.515767
31.422284,80.156704
30.900715,79.791818
30.381394,79.421228
29.864482,79.045058
29.350134,78.663434
28.838501,78.276484
28.329732,77.884341
27.823972,77.487139
27.321360,77.085016
26.822033,76.678112
26.326123,76.266572
25.833760,75.850540
25.345067,75.430164
24.860165,75.005596
24.379171,74.576988
23.902198,74.144494
23.429353,73.708273
22.960741,73.268483
22.496464,72.825284
22.036617,72.378839
21.581292,71.929312
21.130578,71.476868
20.684559,71.021673
20.243316,70.563896
19.806924,70.103705
19.375456,69.641269
18.948981,69.176758
18.527562,68.710344
18.111261,68.242197
17.700133,67.772487
17.294232,67.301388
16.893607,66.829068
16.498303,66.355700
16.108361,65.881454
15.723820,65.406498
15.344714,64.931003
14.971074,64.455136
14.602928,63.979064
14.240300,63.502952
13.883210,63.026964
13.531677,62.551264
13.185715,62.076011
12.845336,61.601365
12.510548,61.127481
12.181359,60.654515
11.857770,60.182620
11.539783,59.711943
11.227396,59.242633
10.920604,58.774834
10.619402,58.308687
10.323780,57.844331
10.033729,57.381901
9.749234,56.921530
9.470283,56.463346
9.196858,56.007476
8.928943,55.554042
8.666517,55.103163
8.409562,54.654954
8.158055,54.209527
7.911973,53.766991
7.671292,53.327451
7.435988,52.891009
7.206036,52.457761
6.981409,52.027803
6.762081,51.601225
6.548025,51.178114
6.339212,50.758555
6.135616,50.342628
5.937208,49.930410
5.743960,49.521975
5.555845,49.117394
5.372833,48.716735
5.194897,48.320061
5.022009,47.927435
4.854142,47.538916
4.691269,47.154560
4.533361,46.774420
4.380394,46.398548
4.232341,46.026993
4.089175,45.659800
3.950873,45.297015
3.817410,44.938679
3.688762,44.584834
3.564905,44.235517
3.445816,43.890767
3.331474,43.550619
3.221858,43.215108
3.116945,42.884266
3.016716,42.558125
2.921152,42.236717
2.830234,41.920073
2.743943,41.608221
2.662261,41.301190
2.585173,40.999009
2.512660,40.701706
2.444709,40.409309
2.381303,40.121845
2.322428,39.839342
2.268071,39.561827
2.218216,39.289329
2.172853,39.021875
2.131968,38.759493
2.095549,38.502212
2.063585,38.250060
2.036066,38.003069
2.012980,37.761267
1.994318,37.524686
1.980070,37.293357
1.970227,37.067312
1.964780,36.846586
1.963721,36.631211
1.967041,36.421224
1.974733,36.216659
1.986790,36.017555
2.003204,35.823949
2.023969,35.635880
2.049078,35.453389
2.078525,35.276518
2.112305,35.105308
2.150411,34.939804
2.192840,34.780051
2.239585,34.626095
2.290643,34.477983
2.346009,34.335765
2.405679,34.199490
2.469650,34.069210
2.537918,33.944978
2.610481,33.826846
2.687337,33.714870
2.768482,33.609107
2.853915,33.509614
2.943636,33.416449
3.037643,33.329674
3.135936,33.249349
3.238516,33.175538
3.345382,33.108302
3.456537,33.047709
3.571982,32.993823
3.691720,32.946713
3.815754,32.906446
3.944088,32.873092
4.076727,32.846722
4.213676,32.827408
4.354942,32.815221
4.500533,32.810236
4.650456,32.812528
4.804721,32.822171
4.963339,32.839243
5.126320,32.863820
5.293678,32.895980
5.465427,32.935803
5.641581,32.983368
5.822159,33.038754
6.007177,33.102042
6.196656,33.173313
6.390616,33.252648
6.589082,33.340130
6.792076,33.435840
6.999627,33.539860
7.211763,33.652273
7.428513,33.773160
7.649910,33.902603
7.875988,34.040684
8.106785,34.187484
8.342339,34.343084
8.582692,34.507564
8.827886,34.681002
