x_mm,y_mm
49.897852,39.968092
50.092404,40.281266
50.280755,40.592022
50.462761,40.900277
50.638284,41.205951
50.807186,41.508966
50.969336,41.809249
51.124602,42.106727
51.272860,42.401332
51.413988,42.692998
51.547867,42.981660
51.674387,43.267259
51.793437,43.549734
51.904915,43.829030
52.008722,44.105093
52.104766,44.377870
52.192959,44.647311
52.273218,44.913368
52.345467,45.175994
52.409635,45.435145
52.465657,45.690778
52.513474,45.942850
52.553034,46.191321
52.584288,46.436152
52.607197,46.677303
52.621725,46.914739
52.627844,47.148422
52.625530,47.378316
52.614768,47.604387
52.595547,47.826600
52.567862,48.044921
52.531715,48.259316
52.487113,48.469752
52.434069,48.676195
52.372601,48.878612
52.302736,49.076971
52.224502,49.271239
52.137935,49.461383
52.043075,49.647370
51.939970,49.829167
51.828670,50.006742
51.709230,50.180060
51.581713,50.349088
51.446184,50.513794
51.302713,50.674144
51.151374,50.830104
50.992247,50.981639
50.825415,51.128717
50.650964,51.271303
50.468987,51.409363
50.279577,51.542863
50.082833,51.671768
49.878857,51.796044
49.667754,51.915658
49.449631,52.030574
49.224601,52.140759
48.992778,52.246180
48.754278,52.346803
48.509222,52.442594
48.257731,52.533520
47.999929,52.619549
47.735944,52.700649
47.465904,52.776788
47.189941,52.847935
46.908187,52.914059
46.620777,52.975131
46.327847,53.031121
46.029535,53.082001
45.725980,53.127745
45.417323,53.168324
45.103706,53.203713
44.785272,53.233888
44.462166,53.258825
44.134532,53.278502
43.802517,53.292897
43.466267,53.301990
43.125930,53.305763
42.781655,53.304197
42.433589,53.297277
42.081884,53.284988
41.726687,53.267317
41.368149,53.244253
41.006421,53.215784
40.641652,53.181902
40.273994,53.142601
39.903597,53.097875
39.530612,53.047721
39.155189,52.992136
38.777478,52.931121
38.397630,52.864677
38.015795,52.792809
37.632122,52.715520
37.246760,52.632820
36.859859,52.544716
36.471567,52.451221
36.082031,52.352346
35.691399,52.248108
35.299817,52.138523
34.907431,52.023610
34.514386,51.903390
34.120828,51.777887
33.726898,51.647125
33.332741,51.511131
32.938498,51.369935
32.544309,51.223567
32.150314,51.072061
31.756653,50.915452
31.363463,50.753778
30.970880,50.587076
30.579040,50.415390
30.188077,50.238762
29.798124,50.057237
29.409313,49.870863
29.021774,49.679689
28.635636,49.483767
28.251027,49.283149
27.868073,49.077891
27.486899,48.868050
27.107628,48.653684
26.730381,48.434856
26.355280,48.211627
25.982442,47.984062
25.611985,47.752228
25.244024,47.516192
24.878673,47.276026
24.516044,47.031799
24.156246,46.783586
23.799389,46.531462
23.445580,46.275503
23.094923,46.015788
22.747521,45.752396
22.403476,45.485409
22.062887,45.214910
21.725852,44.940983
21.392466,44.663714
21.062824,44.383189
20.737016,44.099498
20.415132,43.812730
20.097261,43.522975
19.783488,43.230327
19.473897,42.934878
19.168570,42.636724
18.867586,42.335959
18.571023,42.032679
18.278956,41.726984
17.991460,41.418970
17.708605,41.108738
17.430461,40.796388
17.157095,40.482020
16.888572,40.165737
16.624955,39.847640
16.366305,39.527834
16.112681,39.206421
15.864139,38.883505
15.620735,38.559192
15.382519,38.233587
15.149543,37.906794
14.921855,37.578921
14.699501,37.250072
14.482524,36.920356
14.270967,36.589877
14.064869,36.258744
13.864268,35.927062
13.669200,35.594939
13.479697,35.262482
13.295791,34.929798
13.117512,34.596993
12.944886,34.264174
12.777939,33.931448
12.616695,33.598921
12.461174,33.266699
12.311396,32.934887
12.167378,32.603592
12.029136,32.272918
11.896682,31.942969
11.770028,31.613850
11.649184,31.285665
11.534157,30.958516
11.424954,30.632505
11.321578,30.307736
11.224031,29.984308
11.132315,29.662323
11.046427,29.341880
10.966365,29.023079
10.892123,28.706017
10.823695,28.390792
10.761074,28.077501
10.704249,27.766240
10.653209,27.457103
10.607941,27.150185
10.568430,26.845578
10.534660,26.543375
10.506615,26.243667
10.484274,25.946544
10.467617,25.652095
10.456623,25.360408
10.451268,25.071571
10.451527,24.785669
10.457375,24.502787
10.468784,24.223009
10.485727,23.946418
10.508172,23.673095
10.536089,23.403121
10.569446,23.136575
10.608210,22.873536
10.652347,22.614079
10.701820,22.358282
10.756593,22.106218
10.816629,21.857962
10.881889,21.613585
10.952334,21.373158
11.027923,21.136752
11.108614,20.904435
11.194366,20.676274
11.285135,20.452335
11.380877,20.232684
11.481548,20.017384
11.587102,19.806498
11.697492,19.600087
11.812672,19.398211
11.932595,19.200928
12.057211,19.008297
12.186472,18.820374
12.320328,18.637213
12.458730,18.458868
12.601626,18.285393
12.748965,18.116837
12.900696,17.953252
13.056767,17.794686
13.217124,17.641186
13.381716,17.492798
13.550488,17.349569
13.723387,17.211540
13.900358,17.078755
14.081349,16.951255
14.266303,16.829079
14.455165,16.712266
14.647882,16.600854
14.844396,16.494877
15.044654,16.394372
15.248598,16.299370
15.456173,16.209905
15.667324,16.126007
15.881993,16.047704
16.100126,15.975027
16.321665,15.908000
16.546554,15.846649
16.774737,15.790999
17.006158,15.741071
17.240761,15.696888
17.478489,15.658469
17.719287,15.625832
17.963098,15.598995
18.209866,15.577973
18.459536,15.562781
18.712052,15.553432
18.967358,15.549936
19.225400,15.552303
19.486121,15.560543
19.749468,15.574661
20.015385,15.594664
20.283818,15.620555
20.554713,15.652337
20.828016,15.690010
21.103672,15.733574
21.381629,15.783026
21.661834,15.838363
21.944233,15.899578
22.228774,15.966664
22.515405,16.039613
22.804074,16.118414
23.094728,16.203055
23.387317,16.293520
23.681789,16.389796
23.978094,16.491863
24.276182,16.599703
24.576001,16.713295
24.877502,16.832614
25.180635,16.957637
25.485351,17.088336
25.791601,17.224682
26.099335,17.366646
26.408505,17.514193
26.719062,17.667289
27.030958,17.825898
27.344144,17.989979
27.658573,18.159494
27.974196,18.334397
28.290964,18.514645
28.608831,18.700189
28.927747,18.890980
29.247665,19.086967
29.568535,19.288094
29.890311,19.494306
30.212942,19.705544
30.536380,19.921747
30.860575,20.142851
31.185478,20.368792
31.511038,20.599501
31.837205,20.834907
32.163928,21.074938
32.491153,21.319519
32.818830,21.568571
33.146903,21.822015
33.475319,22.079769
33.804022,22.341746
34.132956,22.607861
34.462063,22.878023
34.791284,23.152140
35.120559,23.430117
35.449827,23.711858
35.779024,23.997263
36.108085,24.286231
36.436944,24.578656
36.765534,24.874435
37.093783,25.173457
37.421620,25.475612
37.748971,25.780788
38.075760,26.088870
38.401907,26.399741
38.727333,26.713282
39.051953,27.029374
39.375683,27.347893
39.698433,27.668715
40.020114,27.991716
40.340630,28.316769
40.659887,28.643744
40.977785,28.972513
41.294222,29.302944
41.609093,29.634907
41.922290,29.968268
42.233703,30.302894
42.543217,30.638652
42.850718,30.975406
43.156084,31.313024
43.459194,31.651368
43.759923,31.990306
44.058143,32.329702
44.353723,32.669423
44.646530,33.009334
44.936427,33.349302
45.223278,33.689195
45.506941,34.028882
45.787273,34.368233
46.064129,34.707119
46.337363,35.045413
46.606826,35.382988
46.872369,35.719721
47.133839,36.055489
47.391084,36.390173
47.643950,36.723653
47.892284,37.055816
48.135931,37.386547
48.374735,37.715735
48.608543,38.043271
48.837199,38.369051
49.060549,38.692972
49.278441,39.014932
49.490722,39.334834
49.697242,39.652585
