x_mm,y_mm
25.663107,53.351358
26.021702,53.920682
26.375678,54.487735
26.724752,55.052239
27.068643,55.613921
27.407068,56.172517
27.739744,56.727770
28.066388,57.279429
28.386721,57.827253
28.700463,58.371007
29.007340,58.910467
29.307081,59.445415
29.599418,59.975644
29.884089,60.500955
30.160838,61.021156
30.429417,61.536066
30.689581,62.045512
30.941095,62.549329
31.183734,63.047362
31.417278,63.539461
31.641518,64.025488
31.856254,64.505310
32.061296,64.978804
32.256464,65.445853
32.441588,65.906347
32.616511,66.360183
32.781083,66.807266
32.935169,67.247504
33.078643,67.680815
33.211390,68.107119
33.333308,68.526343
33.444305,68.938420
33.544300,69.343285
33.633226,69.740879
33.711023,70.131147
33.777645,70.514037
33.833055,70.889501
33.877230,71.257495
33.910154,71.617976
33.931822,71.970905
33.942241,72.316245
33.941427,72.653962
33.929403,72.984022
33.906206,73.306394
33.871878,73.621051
33.826472,73.927963
33.770049,74.227104
33.702678,74.518449
33.624436,74.801974
33.535407,75.077656
33.435683,75.345472
33.325363,75.605400
33.204552,75.857420
33.073363,76.101512
32.931912,76.337656
32.780324,76.565832
32.618727,76.786024
32.447256,76.998213
32.266051,77.202381
32.075254,77.398512
31.875015,77.586590
31.665486,77.766599
31.446824,77.938524
31.219187,78.102351
30.982740,78.258067
30.737650,78.405656
30.484085,78.545109
30.222218,78.676413
29.952224,78.799557
29.674281,78.914531
29.388566,79.021327
29.095263,79.119937
28.794553,79.210353
28.486622,79.292570
28.171655,79.366582
27.849840,79.432387
27.521366,79.489982
27.186422,79.539366
26.845198,79.580539
26.497885,79.613503
26.144676,79.638262
25.785761,79.654819
25.421334,79.663181
25.051587,79.663357
24.676713,79.655355
24.296903,79.639187
23.912352,79.614866
23.523250,79.582407
23.129791,79.541827
22.732164,79.493144
22.330563,79.436379
21.925176,79.371554
21.516194,79.298694
21.103806,79.217825
20.688199,79.128976
20.269561,79.032178
19.848078,78.927463
19.423936,78.814867
18.997318,78.694426
18.568407,78.566181
18.137385,78.430172
17.704431,78.286443
17.269725,78.135041
16.833445,77.976013
16.395765,77.809410
15.956860,77.635285
15.516903,77.453692
15.076065,77.264690
14.634516,77.068337
14.192422,76.864695
13.749949,76.653829
13.307262,76.435804
12.864522,76.210689
12.421890,75.978555
11.979522,75.739475
11.537576,75.493524
11.096206,75.240778
10.655562,74.981318
10.215795,74.715226
9.777052,74.442584
9.339478,74.163478
8.903218,73.877997
8.468410,73.586229
8.035194,73.288267
7.603706,72.984205
7.174080,72.674138
6.746448,72.358163
6.320937,72.036380
5.897675,71.708890
5.476787,71.375796
5.058393,71.037202
4.642613,70.693214
4.229564,70.343940
3.819360,69.989490
3.412113,69.629973
3.007932,69.265503
2.606925,68.896192
2.209194,68.522156
1.814842,68.143511
1.423968,67.760374
1.036668,67.372863
0.653038,66.981099
0.273167,66.585201
-0.102854,66.185291
-0.474940,65.781491
