x_mm,y_mm
37.564895,34.532617
38.001110,35.430391
38.407255,36.319082
38.781929,37.197585
39.123799,38.064865
39.431607,38.919957
39.704190,39.761964
39.940485,40.590049
40.139538,41.403438
40.300516,42.201410
40.422708,42.983290
40.505531,43.748447
40.548534,44.496288
40.551395,45.226249
40.513925,45.937790
40.436061,46.630395
40.317866,47.303559
40.159525,47.956791
39.961338,48.589610
39.723715,49.201537
39.447169,49.792100
39.132314,50.360827
38.779851,50.907249
38.390568,51.430900
37.965328,51.931313
37.505068,52.408026
37.010786,52.860580
36.483542,53.288522
35.924445,53.691404
35.334655,54.068790
34.715370,54.420252
34.067827,54.745378
33.393295,55.043770
32.693071,55.315046
31.968477,55.558845
31.220853,55.774829
30.451558,55.962681
29.661964,56.122113
28.853453,56.252861
28.027416,56.354693
27.185249,56.427407
26.328350,56.470834
25.458119,56.484838
24.575952,56.469320
23.683244,56.424213
22.781383,56.349493
21.871749,56.245169
20.955715,56.111291
20.034639,55.947948
19.109870,55.755269
18.182743,55.533422
17.254574,55.282617
16.326665,55.003102
15.400298,54.695167
14.476735,54.359141
13.557218,53.995395
12.642965,53.604337
11.735171,53.186415
10.835006,52.742116
9.943613,52.271964
9.062110,51.776521
8.191583,51.256383
7.333093,50.712184
6.487666,50.144591
5.656301,49.554303
4.839963,48.942053
4.039583,48.308601
3.256059,47.654741
2.490257,46.981290
1.743004,46.289094
1.015094,45.579024
0.307284,44.851971
-0.379704,44.108851
-1.045188,43.350598
-1.688519,42.578163
-2.309090,41.792516
-2.906327,40.994638
-3.479696,40.185525
-4.028700,39.366183
-4.552880,38.537627
-5.051813,37.700880
-5.525113,36.856970
-5.972432,36.006927
-6.393457,35.151787
-6.787911,34.292584
-7.155554,33.430350
-7.496179,32.566117
-7.809612,31.700910
-8.095717,30.835752
-8.354388,29.971656
-8.585550,29.109630
-8.789163,28.250671
-8.965215,27.395766
-9.113725,26.545893
-9.234743,25.702016
-9.328345,24.865087
-9.394635,24.036046
-9.433747,23.215818
-9.445837,22.405313
-9.431090,21.605428
-9.389714,20.817044
-9.321941,20.041024
-9.228028,19.278220
-9.108251,18.529464
-8.962912,17.795573
-8.792333,17.077347
-8.596854,16.375571
-8.376837,15.691011
-8.132665,15.024418
-7.864735,14.376525
-7.573466,13.748048
-7.259292,13.139685
-6.922663,12.552119
-6.564047,11.986013
-6.183925,11.442013
-5.782793,10.920747
-5.361162,10.422827
-4.919554,9.948844
-4.458505,9.499371
-3.978560,9.074964
-3.480277,8.676157
-2.964223,8.303466
-2.430973,7.957389
-1.881111,7.638400
-1.315229,7.346955
-0.733924,7.083487
-0.137799,6.848410
0.472539,6.642113
1.096479,6.464963
1.733408,6.317304
2.382712,6.199456
3.043775,6.111713
3.715981,6.054344
4.398719,6.027592
5.091376,6.031672
5.793345,6.066770
6.504023,6.133043
7.222812,6.230617
7.949118,6.359588
8.682357,6.520016
9.421950,6.711929
10.167327,6.935319
10.917924,7.190137
11.673190,7.476301
12.432579,7.793681
13.195555,8.142111
13.961591,8.521375
14.730167,8.931214
15.500771,9.371318
16.272897,9.841326
17.046044,10.340826
17.819715,10.869348
18.593413,11.426367
19.366641,12.011296
20.138896,12.623488
20.909670,13.262232
21.678444,13.926752
22.444684,14.616205
23.207837,15.329681
23.967326,16.066203
24.722546,16.824724
25.472857,17.604131
26.217584,18.403244
26.956003,19.220819
27.687345,20.055551
28.410784,20.906078
29.125439,21.770983
29.830364,22.648804
30.524551,23.538036
31.206925,24.437142
31.876343,25.344560
32.531596,26.258710
33.171413,27.178007
33.794459,28.100867
34.399348,29.025719
34.984644,29.951013
35.548873,30.875234
36.090533,31.796904
36.608104,32.714596
37.100063,33.626937
