x_mm,y_mm
48.478248,43.878402
48.832904,44.258944
49.178880,44.635599
49.515829,45.008305
49.843413,45.377013
50.161305,45.741681
50.469186,46.102276
50.766749,46.458774
51.053700,46.811159
51.329758,47.159423
51.594654,47.503562
51.848135,47.843582
52.089962,48.179491
52.319911,48.511304
52.537775,48.839039
52.743362,49.162719
52.936496,49.482366
53.117018,49.798009
53.284786,50.109674
53.439672,50.417392
53.581566,50.721191
53.710375,51.021099
53.826021,51.317146
53.928442,51.609357
54.017590,51.897758
54.093434,52.182371
54.155956,52.463217
54.205155,52.740313
54.241040,53.013673
54.263636,53.283308
54.272980,53.549226
54.269121,53.811428
54.252119,54.069916
54.222047,54.324684
54.178988,54.575724
54.123034,54.823022
54.054288,55.066563
53.972861,55.306326
53.878872,55.542284
53.772450,55.774410
53.653730,56.002671
53.522854,56.227030
53.379972,56.447447
53.225237,56.663879
53.058812,56.876280
52.880861,57.084599
52.691555,57.288783
52.491069,57.488778
52.279583,57.684525
52.057278,57.875964
51.824343,58.063032
51.580965,58.245666
51.327337,58.423800
51.063654,58.597365
50.790112,58.766293
50.506911,58.930514
50.214251,59.089958
49.912335,59.244553
49.601366,59.394226
49.281549,59.538907
48.953090,59.678522
48.616196,59.812999
48.271074,59.942266
47.917931,60.066252
47.556978,60.184885
47.188421,60.298094
46.812471,60.405811
46.429335,60.507967
46.039224,60.604494
45.642345,60.695327
45.238907,60.780399
44.829119,60.859649
44.413189,60.933015
43.991324,61.000437
43.563732,61.061856
43.130618,61.117218
42.692188,61.166467
42.248649,61.209552
41.800205,61.246423
41.347058,61.277033
40.889413,61.301336
40.427471,61.319290
39.961434,61.330855
39.491501,61.335992
39.017873,61.334668
38.540747,61.326848
38.060321,61.312503
37.576791,61.291606
37.090352,61.264133
36.601197,61.230062
36.109520,61.189374
35.615513,61.142053
35.119364,61.088085
34.621265,61.027461
34.121401,60.960173
33.619960,60.886216
33.117126,60.805589
32.613083,60.718293
32.108014,60.624332
31.602099,60.523714
31.095517,60.416448
30.588446,60.302547
30.081063,60.182028
29.573541,60.054909
29.066055,59.921211
28.558775,59.780960
28.051872,59.634182
27.545513,59.480909
27.039864,59.321172
26.535092,59.155009
26.031358,58.982458
25.528823,58.803561
25.027648,58.618362
24.527989,58.426907
24.030002,58.229248
23.533840,58.025435
23.039657,57.815525
22.547600,57.599575
22.057819,57.377645
21.570458,57.149799
21.085662,56.916101
20.603573,56.676619
20.124330,56.431424
19.648071,56.180588
19.174931,55.924186
18.705044,55.662295
18.238541,55.394995
17.775550,55.122368
17.316198,54.844498
16.860610,54.561470
16.408908,54.273374
15.961212,53.980298
15.517640,53.682335
15.078306,53.379580
14.643325,53.072127
14.212806,52.760076
13.786858,52.443525
13.365586,52.122576
12.949095,51.797331
12.537486,51.467895
12.130856,51.134375
11.729303,50.796877
11.332920,50.455511
10.941799,50.110387
10.556028,49.761617
10.175694,49.409314
9.800881,49.053591
9.431671,48.694565
9.068142,48.332351
8.710372,47.967068
8.358434,47.598832
8.012399,47.227765
7.672338,46.853985
7.338316,46.477615
7.010398,46.098775
6.688646,45.717588
6.373119,45.334177
6.063873,44.948665
5.760963,44.561178
5.464441,44.171838
5.174356,43.780772
4.890756,43.388103
4.613684,42.993959
4.343184,42.598464
4.079294,42.201745
3.822053,41.803928
3.571496,41.405138
3.327654,41.005502
3.090560,40.605147
2.860240,40.204197
