x_mm,y_mm
38.500317,34.355709
38.692983,34.772923
38.878732,35.188252
39.057420,35.601565
39.228903,36.012735
39.393042,36.421635
39.549702,36.828145
39.698750,37.232145
39.840058,37.633519
39.973500,38.032157
40.098957,38.427949
40.216314,38.820788
40.325460,39.210574
40.426289,39.597204
40.518702,39.980584
40.602603,40.360618
40.677904,40.737217
40.744523,41.110290
40.802381,41.479751
40.851409,41.845518
40.891542,42.207509
40.922722,42.565644
40.944897,42.919846
40.958021,43.270041
40.962057,43.616154
40.956972,43.958114
40.942740,44.295850
40.919344,44.629295
40.886769,44.958380
40.845011,45.283041
40.794070,45.603211
40.733953,45.918827
40.664674,46.229826
40.586251,46.536146
40.498711,46.837727
40.402086,47.134507
40.296413,47.426428
40.181735,47.713429
40.058103,47.995453
39.925570,48.272442
39.784197,48.544337
39.634049,48.811083
39.475197,49.072622
39.307717,49.328899
39.131689,49.579858
38.947197,49.825443
38.754332,50.065599
38.553187,50.300273
38.343860,50.529411
38.126454,50.752958
37.901074,50.970861
37.667830,51.183068
37.426837,51.389527
37.178209,51.590187
36.922068,51.784995
36.658536,51.973903
36.387740,52.156860
36.109809,52.333817
35.824874,52.504726
35.533070,52.669540
35.234533,52.828212
34.929403,52.980697
34.617820,53.126949
34.299928,53.266925
33.975872,53.400583
33.645800,53.527880
33.309859,53.648776
32.968200,53.763233
32.620975,53.871212
32.268336,53.972676
31.910440,54.067590
31.547440,54.155920
31.179494,54.237635
30.806760,54.312702
30.429395,54.381093
30.047560,54.442779
29.661414,54.497736
29.271118,54.545938
28.876834,54.587362
28.478723,54.621988
28.076947,54.649797
27.671669,54.670772
27.263052,54.684897
26.851258,54.692158
26.436451,54.692545
26.018793,54.686048
25.598448,54.672660
25.175578,54.652375
24.750347,54.625189
24.322917,54.591103
23.893450,54.550116
23.462108,54.502232
23.029053,54.447456
22.594447,54.385795
22.158449,54.317260
21.721221,54.241862
21.282921,54.159615
20.843709,54.070535
20.403742,53.974642
19.963179,53.871956
19.522175,53.762499
19.080887,53.646298
18.639470,53.523381
18.198078,53.393776
17.756863,53.257516
17.315978,53.114637
16.875574,52.965174
16.435800,52.809166
15.996806,52.646655
15.558738,52.477685
15.121744,52.302300
14.685967,52.120550
14.251552,51.932484
13.818641,51.738154
13.387376,51.537616
12.957895,51.330925
12.530337,51.118141
12.104838,50.899325
11.681534,50.674540
11.260558,50.443851
10.842042,50.207325
10.426116,49.965033
10.012909,49.717044
9.602549,49.463433
9.195159,49.204274
8.790865,48.939646
8.389787,48.669626
7.992046,48.394297
7.597760,48.113740
7.207045,47.828041
6.820015,47.537285
6.436784,47.241562
6.057461,46.940960
5.682156,46.635572
5.310975,46.325491
4.944023,46.010810
4.581402,45.691627
4.223213,45.368039
3.869556,45.040145
3.520526,44.708046
3.176217,44.371845
2.836723,44.031643
2.502134,43.687547
2.172537,43.339662
1.848018,42.988095
1.528663,42.632954
1.214552,42.274349
0.905764,41.912390
0.602378,41.547189
0.304467,41.178858
0.012107,40.807510
-0.274634,40.433261
-0.555687,40.056225
-0.830985,39.676517
-1.100463,39.294256
-1.364061,38.909557
-1.621719,38.522539
-1.873378,38.133322
-2.118985,37.742023
-2.358485,37.348763
-2.591828,36.953662
-2.818967,36.556840
-3.039853,36.158419
-3.254444,35.758519
-3.462696,35.357263
-3.664572,34.954773
-3.860032,34.551170
-4.049042,34.146576
-4.231569,33.741114
-4.407581,33.334906
-4.577050,32.928075
-4.739949,32.520744
-4.896253,32.113033
-5.045941,31.705066
-5.188991,31.296965
-5.325386,30.888852
-5.455110,30.480848
-5.578147,30.073075
-5.694487,29.665654
-5.804120,29.258706
-5.907037,28.852352
-6.003232,28.446711
-6.092702,28.041903
-6.175444,27.638048
-6.251459,27.235264
-6.320748,26.833669
-6.383315,26.433381
-6.439166,26.034518
-6.488309,25.637195
-6.530752,25.241529
-6.566508,24.847634
-6.595588,24.455625
-6.618009,24.065616
-6.633785,23.677720
