x_mm,y_mm
38.500317,34.355709
38.786731,34.980831
39.057420,35.601565
39.311899,36.217476
39.549702,36.828145
39.770379,37.433167
39.973500,38.032157
40.158655,38.624744
40.325460,39.210574
40.473553,39.789307
40.602603,40.360618
40.712304,40.924199
40.802381,41.479751
40.872592,42.026991
40.922722,42.565644
40.952593,43.095449
40.962057,43.616154
40.951001,44.127514
40.919344,44.629295
40.867038,45.121268
40.794070,45.603211
40.700458,46.074907
40.586251,46.536146
40.451532,46.986721
40.296413,47.426428
40.121035,47.855067
39.925570,48.272442
39.710216,48.678357
39.475197,49.072622
39.220766,49.455046
38.947197,49.825443
38.654788,50.183625
38.343860,50.529411
38.014754,50.862618
37.667830,51.183068
37.303470,51.490585
36.922068,51.784995
36.524038,52.066128
36.109809,52.333817
35.679822,52.587898
35.234533,52.828212
34.774409,53.054605
34.299928,53.266925
33.811579,53.465029
33.309859,53.648776
32.795273,53.818034
32.268336,53.972676
31.729568,54.112580
31.179494,54.237635
30.618646,54.347734
30.047560,54.442779
29.466775,54.522682
28.876834,54.587362
28.278283,54.636746
27.671669,54.670772
27.057542,54.689386
26.436451,54.692545
25.808946,54.680216
25.175578,54.652375
24.536896,54.609009
23.893450,54.550116
23.245785,54.475705
22.594447,54.385795
21.939979,54.280418
21.282921,54.159615
20.623810,54.023439
19.963179,53.871956
19.301557,53.705240
18.639470,53.523381
17.977439,53.326476
17.315978,53.114637
16.655599,52.887986
15.996806,52.646655
15.340098,52.390791
14.685967,52.120550
14.034900,51.836098
13.387376,51.537616
12.743867,51.225291
12.104838,50.899325
11.470747,50.559929
10.842042,50.207325
10.219165,49.841746
9.602549,49.463433
8.992618,49.072639
8.389787,48.669626
7.794464,48.254666
7.207045,47.828041
6.627918,47.390039
6.057461,46.940960
5.496043,46.481112
4.944023,46.010810
4.401748,45.530377
3.869556,45.040145
3.347775,44.540452
2.836723,44.031643
2.336706,43.514071
1.848018,42.988095
1.370947,42.454077
0.905764,41.912390
0.452733,41.363407
0.012107,40.807510
-0.415876,40.245084
-0.830985,39.676517
-1.233001,39.102203
-1.621719,38.522539
-1.996941,37.937925
-2.358485,37.348763
-2.706176,36.755458
-3.039853,36.158419
-3.359365,35.558053
-3.664572,34.954773
-3.955346,34.348989
-4.231569,33.741114
-4.493135,33.131561
-4.739949,32.520744
-4.971926,31.909074
-5.188991,31.296965
-5.391083,30.684829
-5.578147,30.073075
-5.750143,29.462113
-5.907037,28.852352
-6.048808,28.244195
-6.175444,27.638048
-6.286944,27.034310
-6.383315,26.433381
-6.464576,25.835657
-6.530752,25.241529
-6.581881,24.651387
-6.618009,24.065616
-6.639188,23.484600
-6.645484,22.908715
-6.636968,22.338337
-6.613720,21.773834
-6.575830,21.215573
-6.523394,20.663915
-6.456518,20.119215
-6.375313,19.581826
-6.279901,19.052094
-6.170410,18.530361
-6.046973,18.016963
-5.909734,17.512231
-5.758841,17.016491
-5.594450,16.530064
-5.416723,16.053263
-5.225829,15.586399
-5.021941,15.129773
-4.805240,14.683684
-4.575913,14.248423
-4.334151,13.824275
-4.080152,13.411520
-3.814116,13.010431
-3.536252,12.621273
-3.246771,12.244309
-2.945889,11.879791
-2.633828,11.527967
-2.310812,11.189078
-1.977069,10.863358
-1.632832,10.551035
-1.278338,10.252329
-0.913825,9.967453
-0.539535,9.696614
-0.155714,9.440012
0.237391,9.197838
0.639529,8.970278
1.050447,8.757509
1.469893,8.559701
1.897608,8.377017
2.333336,8.209610
2.776816,8.057629
3.227790,7.921211
3.685996,7.800488
4.151172,7.695582
4.623056,7.606607
5.101384,7.533670
5.585895,7.476867
6.076327,7.436287
6.572416,7.412008
7.073901,7.404103
7.580523,7.412631
8.092019,7.437645
8.608133,7.479185
9.128606,7.537286
9.653183,7.611968
10.181608,7.703244
10.713629,7.811114
11.248995,7.935571
11.787457,8.076593
12.328768,8.234149
12.872683,8.408196
13.418958,8.598679
13.967354,8.805533
14.517630,9.028677
15.069552,9.268020
15.622884,9.523458
16.177393,9.794873
16.732849,10.082134
17.289022,10.385096
17.845684,10.703598
18.402610,11.037469
18.959572,11.386518
19.516345,11.750543
20.072705,12.129324
20.628427,12.522626
21.183283,12.930200
21.737048,13.351778
22.289492,13.787077
22.840384,14.235797
23.389489,14.697621
23.936570,15.172217
24.481385,15.659234
25.023686,16.158304
25.563219,16.669044
26.099726,17.191054
26.632938,17.723915
27.162580,18.267195
27.688366,18.820445
28.210003,19.383200
28.727186,19.954981
29.239596,20.535295
29.746905,21.123635
30.248773,21.719482
30.744844,22.322305
31.234750,22.931564
31.718108,23.546708
32.194523,24.167178
32.663584,24.792410
33.124866,25.421835
33.577931,26.054877
34.022326,26.690962
34.457588,27.329513
34.883239,27.969954
35.298793,28.611714
35.703751,29.254223
36.097608,29.896920
36.479851,30.539249
36.849963,31.180664
37.207422,31.820630
37.551707,32.458623
37.882295,33.094129
38.198670,33.726653
