x_mm,y_mm
53.864075,25.767851
54.096528,26.319853
54.308150,26.867318
54.498516,27.410050
54.667237,27.947864
54.813955,28.480585
54.938348,29.008045
55.040133,29.530082
55.119063,30.046536
55.174931,30.557251
55.207568,31.062072
55.216845,31.560842
55.202672,32.053402
55.164999,32.539590
55.103813,33.019238
55.019140,33.492174
54.911042,33.958218
54.779618,34.417182
54.625000,34.868873
54.447353,35.313088
54.246877,35.749617
54.023800,36.178239
53.778378,36.598728
53.510898,37.010848
53.221670,37.414357
52.911029,37.809005
52.579335,38.194534
52.226966,38.570683
51.854324,38.937184
51.461826,39.293764
51.049910,39.640149
50.619027,39.976060
50.169645,40.301217
49.702245,40.615339
49.217320,40.918143
48.715377,41.209352
48.196930,41.488685
47.662506,41.755867
47.112640,42.010625
46.547874,42.252692
45.968758,42.481805
45.375849,42.697707
44.769710,42.900149
44.150907,43.088887
43.520014,43.263687
42.877607,43.424323
42.224266,43.570580
41.560575,43.702251
40.887119,43.819141
40.204485,43.921065
39.513264,44.007851
38.814046,44.079336
38.107422,44.135374
37.393984,44.175828
36.674324,44.200575
35.949034,44.209507
35.218705,44.202527
34.483925,44.179556
33.745284,44.140525
33.003367,44.085381
32.258760,44.014087
31.512044,43.926619
30.763797,43.822968
30.014596,43.703141
29.265013,43.567159
28.515616,43.415058
27.766970,43.246891
27.019634,43.062723
26.274164,42.862637
25.531108,42.646729
24.791013,42.415111
24.054415,42.167910
23.321848,41.905268
22.593837,41.627341
21.870902,41.334300
21.153554,41.026331
20.442299,40.703633
19.737633,40.366421
19.040045,40.014921
18.350016,39.649376
17.668018,39.270041
16.994514,38.877183
16.329958,38.471085
15.674794,38.052039
15.029457,37.620352
14.394371,37.176341
13.769950,36.720338
13.156598,36.252682
12.554708,35.773726
11.964660,35.283833
11.386827,34.783375
10.821565,34.272735
10.269222,33.752305
9.730133,33.222486
9.204621,32.683686
8.692996,32.136324
8.195556,31.580823
7.712586,31.017615
7.244358,30.447138
6.791132,29.869836
6.353154,29.286159
5.930658,28.696561
5.523862,28.101500
5.132974,27.501439
4.758186,26.896843
4.399679,26.288182
4.057619,25.675926
3.732158,25.060547
3.423436,24.442520
3.131579,23.822317
2.856700,23.200413
2.598898,22.577282
2.358260,21.953397
2.134859,21.329229
1.928755,20.705248
1.739995,20.081921
1.568615,19.459711
1.414637,18.839081
1.278070,18.220486
1.158912,17.604381
1.057149,16.991215
0.972755,16.381430
0.905692,15.775467
0.855912,15.173758
0.823354,14.576731
0.807948,13.984808
0.809612,13.398404
0.828256,12.817928
0.863776,12.243783
0.916062,11.676363
0.984992,11.116058
1.070436,10.563248
1.172255,10.018307
1.290301,9.481602
1.424418,8.953491
1.574440,8.434327
1.740195,7.924452
1.921503,7.424203
2.118176,6.933908
2.330020,6.453887
2.556834,5.984453
2.798409,5.525909
3.054531,5.078553
3.324979,4.642674
3.609528,4.218552
3.907946,3.806460
4.219995,3.406662
4.545434,3.019415
4.884015,2.644968
5.235488,2.283562
5.599597,1.935428
5.976081,1.600792
6.364677,1.279870
6.765117,0.972868
7.177132,0.679988
7.600447,0.401421
8.034786,0.137350
8.479869,-0.112051
8.935415,-0.346614
9.401138,-0.566182
9.876755,-0.770606
10.361975,-0.959746
10.856511,-1.133468
11.360071,-1.291651
11.872363,-1.434181
12.393096,-1.560951
12.921975,-1.671867
13.458706,-1.766843
14.002996,-1.845800
14.554550,-1.908671
15.113074,-1.955398
15.678275,-1.985934
16.249858,-2.000239
16.827532,-1.998287
17.411005,-1.980058
17.999986,-1.945546
18.594185,-1.894755
19.193315,-1.827697
19.797088,-1.744398
20.405220,-1.644894
21.017426,-1.529233
21.633425,-1.397473
22.252936,-1.249686
22.875681,-1.085953
23.501384,-0.906371
24.129770,-0.711045
24.760566,-0.500095
25.393500,-0.273655
26.028304,-0.031869
26.664708,0.225103
27.302447,0.497091
27.941253,0.783907
28.580864,1.085354
29.221014,1.401217
29.861439,1.731270
30.501876,2.075270
31.142059,2.432962
31.781724,2.804076
32.420602,3.188326
33.058426,3.585412
33.694923,3.995021
34.329818,4.416825
34.962832,4.850478
35.593682,5.295626
36.222077,5.751895
36.847723,6.218900
37.470315,6.696242
38.089544,7.183509
38.705090,7.680277
39.316621,8.186107
39.923799,8.700552
40.526270,9.223153
41.123670,9.753441
41.715622,10.290939
42.301732,10.835159
42.881595,11.385612
43.454788,11.941798
44.020875,12.503216
44.579400,13.069362
45.129894,13.639730
45.671871,14.213814
46.204827,14.791113
46.728245,15.371126
47.241590,15.953360
47.744315,16.537326
48.235857,17.122546
48.715642,17.708553
49.183086,18.294890
49.637595,18.881112
50.078567,19.466792
50.505396,20.051516
50.917474,20.634887
51.314191,21.216527
51.694942,21.796074
52.059125,22.373185
52.406149,22.947538
52.735431,23.518825
53.046404,24.086761
53.338519,24.651076
53.611245,25.211518
