x_mm,y_mm
59.284980,44.460307
59.919842,45.008998
60.527399,45.536297
61.105033,46.041984
61.650212,46.525995
62.160524,46.988408
62.633700,47.429429
63.067640,47.849380
63.460437,48.248680
63.810389,48.627828
64.116017,48.987378
64.376067,49.327929
64.589521,49.650097
64.755596,49.954505
64.873738,50.241760
64.943620,50.512445
64.965132,50.767100
64.938369,51.006218
64.863621,51.230231
64.741358,51.439509
64.572217,51.634353
64.356986,51.814995
64.096590,51.981595
63.792075,52.134246
63.444596,52.272974
63.055405,52.397742
62.625834,52.508456
62.157286,52.604969
61.651226,52.687086
61.109166,52.754572
60.532663,52.807159
59.923304,52.844548
59.282702,52.866421
58.612490,52.872440
57.914316,52.862262
57.189835,52.835537
56.440705,52.791916
55.668586,52.731058
54.875133,52.652631
54.061997,52.556321
53.230817,52.441830
52.383222,52.308884
51.520827,52.157238
50.645231,51.986671
49.758017,51.796998
48.860748,51.588066
47.954967,51.359759
47.042196,51.111997
46.123933,50.844741
45.201654,50.557991
44.276809,50.251790
43.350822,49.926219
42.425089,49.581406
41.500981,49.217520
40.579836,48.834771
39.662966,48.433414
38.751650,48.013745
37.847135,47.576104
36.950637,47.120869
36.063338,46.648463
35.186385,46.159345
34.320889,45.654016
33.467928,45.133013
32.628540,44.596910
31.803728,44.046318
30.994454,43.481879
30.201643,42.904270
29.426180,42.314198
28.668909,41.712399
27.930634,41.099636
27.212115,40.476700
26.514073,39.844404
25.837186,39.203582
25.182087,38.555090
24.549368,37.899801
23.939578,37.238604
23.353222,36.572402
22.790760,35.902109
22.252610,35.228649
21.739147,34.552956
21.250701,33.875965
20.787562,33.198618
20.349973,32.521858
19.938139,31.846625
19.552221,31.173859
19.192339,30.504495
18.858573,29.839461
18.550964,29.179678
18.269513,28.526054
18.014184,27.879491
17.784905,27.240872
17.581566,26.611070
17.404024,25.990939
17.252103,25.381317
17.125593,24.783024
17.024255,24.196859
16.947820,23.623601
16.895991,23.064007
16.868445,22.518812
16.864833,21.988728
16.884783,21.474442
16.927901,20.976619
16.993773,20.495895
17.081965,20.032886
17.192027,19.588178
17.323492,19.162333
17.475880,18.755887
17.648698,18.369351
17.841442,18.003207
18.053599,17.657914
18.284648,17.333904
18.534062,17.031581
18.801309,16.751327
19.085853,16.493495
19.387159,16.258415
19.704688,16.046390
20.037906,15.857699
20.386279,15.692598
20.749280,15.551315
21.126385,15.434057
21.517078,15.341005
21.920853,15.272318
22.337211,15.228131
22.765668,15.208555
23.205748,15.213679
23.656994,15.243568
24.118960,15.298267
24.591219,15.377796
25.073361,15.482152
25.564995,15.611310
26.065749,15.765224
26.575276,15.943822
27.093247,16.147012
27.619359,16.374676
28.153333,16.626674
28.694915,16.902842
29.243879,17.202989
29.800023,17.526900
30.363175,17.874333
30.933189,18.245019
31.509949,18.638660
32.093365,19.054929
32.683377,19.493467
33.279953,19.953881
33.883086,20.435745
34.492797,20.938596
35.109130,21.461933
35.732152,22.005213
36.361951,22.567849
36.998631,23.149210
37.642312,23.748614
38.293121,24.365331
38.951192,24.998574
39.616658,25.647500
40.289644,26.311207
40.970262,26.988731
41.658600,27.679044
42.354716,28.381051
43.058625,29.093592
43.770292,29.815438
44.489616,30.545291
45.216423,31.281788
45.950448,32.023503
46.691326,32.768946
47.438579,33.516573
48.191599,34.264790
48.949643,35.011963
49.711813,35.756426
50.477055,36.496491
51.244143,37.230468
52.011681,37.956670
52.778093,38.673440
53.541630,39.379157
54.300370,40.072263
55.052224,40.751277
55.794954,41.414810
56.526183,42.061588
57.243418,42.690460
57.944072,43.300417
58.625490,43.890600
