x_mm,y_mm
60.690583,77.345971
61.637374,77.780770
62.571129,78.202900
63.490517,78.612460
64.394249,79.009604
65.281077,79.394533
66.149806,79.767500
66.999296,80.128798
67.828468,80.478761
68.636309,80.817756
69.421871,81.146179
70.184281,81.464454
70.922736,81.773020
71.636507,82.072336
72.324939,82.362867
72.987454,82.645085
73.623544,82.919465
74.232776,83.186477
74.814786,83.446585
75.369281,83.700244
75.896032,83.947895
76.394873,84.189964
76.865700,84.426858
77.308465,84.658965
77.723174,84.886649
78.109884,85.110252
78.468698,85.330093
78.799762,85.546465
79.103262,85.759634
79.379421,85.969842
79.628496,86.177307
79.850771,86.382218
80.046560,86.584741
80.216200,86.785019
80.360049,86.983169
80.478483,87.179285
80.571895,87.373442
80.640692,87.565691
80.685294,87.756064
80.706128,87.944575
80.703632,88.131219
80.678248,88.315976
80.630425,88.498808
80.560614,88.679665
80.469271,88.858483
80.356851,89.035186
80.223809,89.209685
80.070602,89.381884
79.897685,89.551674
79.705508,89.718943
79.494524,89.883567
79.265177,90.045417
79.017914,90.204359
78.753172,90.360255
78.471388,90.512961
78.172993,90.662332
77.858414,90.808217
77.528073,90.950465
77.182387,91.088925
76.821769,91.223443
76.446626,91.353865
76.057360,91.480036
75.654367,91.601804
75.238041,91.719016
74.808768,91.831522
74.366929,91.939171
73.912901,92.041816
73.447057,92.139313
72.969764,92.231518
72.481383,92.318292
71.982271,92.399498
71.472783,92.475003
70.953265,92.544676
70.424062,92.608392
69.885512,92.666028
69.337950,92.717465
68.781707,92.762588
68.217109,92.801289
67.644479,92.833460
67.064133,92.859000
66.476387,92.877813
65.881551,92.889805
65.279931,92.894888
64.671829,92.892981
64.057544,92.884004
63.437372,92.867884
62.811604,92.844551
62.180529,92.813943
61.544430,92.775999
60.903589,92.730666
60.258283,92.677895
59.608786,92.617640
58.955370,92.549863
58.298302,92.474529
57.637845,92.391607
56.974262,92.301074
56.307810,92.202909
55.638742,92.097097
54.967311,91.983627
54.293764,91.862494
53.618347,91.733697
52.941300,91.597239
52.262862,91.453130
51.583268,91.301382
50.902751,91.142013
50.221538,90.975045
49.539857,90.800505
48.857929,90.618425
48.175973,90.428839
47.494205,90.231788
46.812839,90.027317
46.132083,89.815473
45.452144,89.596309
44.773225,89.369882
44.095526,89.136253
43.419244,88.895487
42.744570,88.647652
42.071696,88.392820
41.400807,88.131069
40.732088,87.862478
40.065716,87.587131
39.401870,87.305114
38.740722,87.016519
38.082441,86.721439
37.427194,86.419972
36.775143,86.112218
36.126447,85.798281
35.481263,85.478267
34.839742,85.152285
34.202033,84.820449
33.568281,84.482873
32.938628,84.139674
32.313212,83.790975
31.692168,83.436896
31.075626,83.077563
30.463714,82.713104
29.856557,82.343648
29.254273,81.969327
28.656980,81.590275
28.064791,81.206626
27.477816,80.818518
26.896161,80.426089
26.319928,80.029481
25.749216,79.628834
25.184120,79.224292
24.624733,78.815998
24.071142,78.404099
23.523433,77.988741
22.981687,77.570070
22.445982,77.148235
21.916392,76.723384
21.392989,76.295666
20.875840,75.865231
20.365009,75.432229
