x_mm,y_mm
55.682303,47.936738
56.083387,48.280866
56.472563,48.621668
56.849466,48.959193
57.213747,49.293495
57.565081,49.624634
57.903158,49.952676
58.227691,50.277691
58.538413,50.599752
58.835080,50.918935
59.117467,51.235314
59.385373,51.548967
59.638617,51.859968
59.877042,52.168392
60.100511,52.474308
60.308907,52.777785
60.502136,53.078886
60.680124,53.377669
60.842816,53.674187
60.990178,53.968488
61.122191,54.260614
61.238857,54.550597
61.340195,54.838466
61.426238,55.124242
61.497038,55.407936
61.552659,55.689555
61.593179,55.969097
61.618692,56.246551
61.629302,56.521902
61.625123,56.795125
61.606284,57.066189
61.572922,57.335055
61.525181,57.601678
61.463217,57.866007
61.387192,58.127984
61.297277,58.387546
61.193648,58.644622
61.076487,58.899139
60.945982,59.151017
60.802326,59.400170
60.645717,59.646512
60.476356,59.889949
60.294448,60.130386
60.100200,60.367723
59.893825,60.601857
59.675534,60.832684
59.445544,61.060098
59.204071,61.283989
58.951334,61.504246
58.687553,61.720758
58.412948,61.933412
58.127742,62.142094
57.832157,62.346690
57.526416,62.547087
57.210741,62.743169
56.885356,62.934823
56.550484,63.121937
56.206349,63.304396
55.853173,63.482089
55.491179,63.654907
55.120589,63.822739
54.741625,63.985478
54.354508,64.143018
53.959459,64.295254
53.556698,64.442085
53.146444,64.583410
52.728916,64.719131
52.304331,64.849152
51.872906,64.973380
51.434858,65.091725
50.990402,65.204098
50.539751,65.310414
50.083120,65.410591
49.620720,65.504549
49.152764,65.592210
48.679460,65.673503
48.201020,65.748355
47.717650,65.816700
47.229558,65.878474
46.736951,65.933615
46.240033,65.982065
45.739008,66.023770
45.234080,66.058679
44.725449,66.086745
44.213316,66.107922
43.697881,66.122170
43.179341,66.129451
42.657893,66.129731
42.133733,66.122979
41.607055,66.109169
41.078053,66.088276
40.546917,66.060280
40.013838,66.025164
39.479006,65.982915
38.942607,65.933522
38.404829,65.876980
37.865856,65.813286
37.325870,65.742439
36.785055,65.664443
36.243590,65.579307
35.701655,65.487039
35.159427,65.387656
34.617080,65.281172
34.074790,65.167610
33.532729,65.046994
32.991068,64.919350
32.449975,64.784709
31.909619,64.643104
31.370165,64.494574
30.831776,64.339157
30.294615,64.176897
29.758841,64.007840
29.224614,63.832036
28.692090,63.649538
28.161423,63.460399
27.632765,63.264680
27.106268,63.062440
26.582080,62.853745
26.060348,62.638661
25.541215,62.417257
25.024825,62.189607
24.511317,61.955785
24.000830,61.715869
23.493500,61.469939
22.989459,61.218078
22.488841,60.960372
21.991774,60.696908
21.498386,60.427776
21.008800,60.153068
20.523140,59.872880
20.041525,59.587308
19.564073,59.296451
19.090900,59.000410
18.622119,58.699287
18.157839,58.393189
17.698170,58.082222
17.243217,57.766494
16.793083,57.446116
16.347869,57.121200
15.907674,56.791860
15.472593,56.458211
15.042720,56.120370
14.618145,55.778454
14.198957,55.432584
13.785243,55.082880
13.377084,54.729465
12.974563,54.372461
12.577757,54.011992
12.186743,53.648184
11.801593,53.281163
11.422379,52.911056
11.049169,52.537990
10.682029,52.162094
10.321022,51.783498
9.966210,51.402330
9.617650,51.018721
9.275400,50.632801
8.939511,50.244702
8.610037,49.854555
8.287025,49.462491
7.970523,49.068643
7.660573,48.673140
7.357219,48.276117
7.060499,47.877704
6.770450,47.478033
6.487109,47.077235
6.210507,46.675443
5.940674,46.272786
5.677640,45.869397
5.421431,45.465405
5.172070,45.060940
4.929580,44.656132
4.693980,44.251110
4.465288,43.846002
4.243521,43.440937
4.028693,43.036040
3.820814,42.631440
3.619897,42.227261
3.425948,41.823628
3.238975,41.420667
3.058982,41.018499
2.885973,40.617247
2.719948,40.217034
2.560908,39.817980
2.408849,39.420203
2.263770,39.023824
2.125664,38.628959
1.994526,38.235726
1.870346,37.844240
1.753116,37.454616
1.642824,37.066967
1.539459,36.681405
1.443006,36.298043
1.353450,35.916990
1.270776,35.538356
1.194965,35.162249
1.126000,34.788776
1.063861,34.418043
1.008525,34.050154
0.959972,33.685214
0.918179,33.323324
0.883121,32.964587
0.854773,32.609103
0.833109,32.256971
0.818102,31.908290
0.809724,31.563157
0.807946,31.221667
0.812739,30.883916
0.824072,30.549998
