x_mm,y_mm
55.682303,47.936738
56.472563,48.621668
57.213747,49.293495
57.903158,49.952676
58.538413,50.599752
59.117467,51.235314
59.638617,51.859968
60.100511,52.474308
60.502136,53.078886
60.842816,53.674187
61.122191,54.260614
61.340195,54.838466
61.497038,55.407936
61.593179,55.969097
61.629302,56.521902
61.606284,57.066189
61.525181,57.601678
61.387192,58.127984
61.193648,58.644622
60.945982,59.151017
60.645717,59.646512
60.294448,60.130386
59.893825,60.601857
59.445544,61.060098
58.951334,61.504246
58.412948,61.933412
57.832157,62.346690
57.210741,62.743169
56.550484,63.121937
55.853173,63.482089
55.120589,63.822739
54.354508,64.143018
53.556698,64.442085
52.728916,64.719131
51.872906,64.973380
50.990402,65.204098
50.083120,65.410591
49.152764,65.592210
48.201020,65.748355
47.229558,65.878474
46.240033,65.982065
45.234080,66.058679
44.213316,66.107922
43.179341,66.129451
42.133733,66.122979
41.078053,66.088276
40.013838,66.025164
38.942607,65.933522
37.865856,65.813286
36.785055,65.664443
35.701655,65.487039
34.617080,65.281172
33.532729,65.046994
32.449975,64.784709
31.370165,64.494574
30.294615,64.176897
29.224614,63.832036
28.161423,63.460399
27.106268,63.062440
26.060348,62.638661
25.024825,62.189607
24.000830,61.715869
22.989459,61.218078
21.991774,60.696908
21.008800,60.153068
20.041525,59.587308
19.090900,59.000410
18.157839,58.393189
17.243217,57.766494
16.347869,57.121200
15.472593,56.458211
14.618145,55.778454
13.785243,55.082880
12.974563,54.372461
12.186743,53.648184
11.422379,52.911056
10.682029,52.162094
9.966210,51.402330
9.275400,50.632801
8.610037,49.854555
7.970523,49.068643
7.357219,48.276117
6.770450,47.478033
6.210507,46.675443
5.677640,45.869397
5.172070,45.060940
4.693980,44.251110
4.243521,43.440937
3.820814,42.631440
3.425948,41.823628
3.058982,41.018499
2.719948,40.217034
2.408849,39.420203
2.125664,38.628959
1.870346,37.844240
1.642824,37.066967
1.443006,36.298043
1.270776,35.538356
1.126000,34.788776
1.008525,34.050154
0.918179,33.323324
0.854773,32.609103
0.818102,31.908290
0.807946,31.221667
0.824072,30.549998
0.866233,29.894030
0.934170,29.254496
1.027611,28.632109
1.146277,28.027569
1.289877,27.441559
1.458111,26.874747
1.650672,26.327784
1.867246,25.801309
2.107511,25.295945
2.371141,24.812299
2.657805,24.350967
2.967168,23.912528
3.298892,23.497546
3.652637,23.106574
4.028061,22.740146
4.424823,22.398786
4.842581,22.082999
5.280997,21.793276
5.739734,21.530094
6.218458,21.293910
6.716843,21.085169
7.234566,20.904292
7.771312,20.751688
8.326774,20.627741
8.900655,20.532818
9.492669,20.467263
10.102540,20.431395
10.730007,20.425512
11.374822,20.449883
12.036752,20.504749
12.715579,20.590320
13.411105,20.706775
14.123147,20.854256
14.851540,21.032868
15.596141,21.242676
16.356821,21.483699
17.133473,21.755908
17.926007,22.059225
18.734350,22.393514
19.558443,22.758580
20.398243,23.154163
21.253715,23.579934
22.124832,24.035490
23.011570,24.520348
23.913902,25.033940
24.831791,25.575608
25.765184,26.144599
26.714001,26.740059
27.678127,27.361032
28.657399,28.006450
29.651594,28.675135
30.660413,29.365796
31.683468,30.077025
32.720262,30.807303
33.770172,31.554999
34.832433,32.318375
35.906116,33.095597
36.990109,33.884741
38.083103,34.683809
39.183570,35.490743
40.289756,36.303448
41.399661,37.119811
42.511039,37.937727
43.621394,38.755127
44.727980,39.570004
45.827816,40.380446
46.917699,41.184664
47.994229,41.981017
49.053840,42.768040
50.092834,43.544462
51.107432,44.309226
52.093812,45.061498
53.048167,45.800667
53.966755,46.526346
54.845953,47.238363
