x_mm,y_mm
53.682504,41.435212
54.026386,41.796141
54.360208,42.153337
54.683632,42.506788
54.996331,42.856492
55.297993,43.202455
55.588318,43.544689
55.867022,43.883215
56.133835,44.218058
56.388504,44.549248
56.630790,44.876821
56.860474,45.200815
57.077353,45.521270
57.281241,45.838231
57.471970,46.151740
57.649389,46.461844
57.813367,46.768587
57.963788,47.072011
58.100554,47.372160
58.223585,47.669073
58.332817,47.962786
58.428204,48.253334
58.509714,48.540748
58.577333,48.825053
58.631060,49.106271
58.670909,49.384420
58.696910,49.659512
58.709104,49.931554
58.707547,50.200548
58.692305,50.466491
58.663457,50.729374
58.621094,50.989182
58.565316,51.245897
58.496233,51.499493
58.413965,51.749939
58.318640,51.997202
58.210394,52.241239
58.089372,52.482006
57.955725,52.719454
57.809609,52.953527
57.651189,53.184167
57.480633,53.411312
57.298116,53.634895
57.103817,53.854846
56.897919,54.071092
56.680609,54.283558
56.452077,54.492163
56.212519,54.696827
55.962129,54.897467
55.701109,55.093996
55.429658,55.286327
55.147982,55.474372
54.856285,55.658041
54.554775,55.837242
54.243660,56.011885
53.923150,56.181876
53.593456,56.347124
53.254788,56.507537
52.907359,56.663021
52.551383,56.813486
52.187071,56.958839
51.814637,57.098990
51.434296,57.233849
51.046260,57.363328
50.650743,57.487339
50.247959,57.605795
49.838121,57.718614
49.421442,57.825711
48.998135,57.927005
48.568412,58.022418
48.132486,58.111872
47.690566,58.195293
47.242866,58.272608
46.789594,58.343746
46.330960,58.408640
45.867173,58.467224
45.398441,58.519436
44.924972,58.565215
44.446973,58.604505
43.964648,58.637250
43.478203,58.663400
42.987841,58.682905
42.493767,58.695720
41.996181,58.701803
41.495285,58.701113
40.991279,58.693614
40.484361,58.679273
39.974731,58.658060
39.462583,58.629947
38.948115,58.594911
38.431520,58.552931
37.912992,58.503990
37.392723,58.448075
36.870903,58.385173
36.347722,58.315278
35.823367,58.238386
35.298027,58.154495
34.771886,58.063608
34.245128,57.965731
33.717935,57.860873
33.190490,57.749045
32.662971,57.630264
32.135556,57.504548
31.608422,57.371919
31.081744,57.232402
30.555696,57.086026
30.030448,56.932823
29.506171,56.772826
28.983033,56.606075
28.461200,56.432610
27.940837,56.252475
27.422107,56.065718
26.905172,55.872389
26.390189,55.672540
25.877317,55.466229
25.366710,55.253515
24.858523,55.034458
24.352906,54.809125
23.850008,54.577583
23.349978,54.339903
22.852959,54.096157
22.359095,53.846422
21.868527,53.590777
21.381394,53.329302
20.897832,53.062081
20.417974,52.789201
19.941954,52.510750
19.469900,52.226819
19.001940,51.937501
18.538200,51.642893
18.078800,51.343093
17.623863,51.038199
17.173505,50.728316
16.727842,50.413546
16.286987,50.093997
15.851050,49.769776
15.420139,49.440993
14.994360,49.107761
14.573814,48.770193
14.158604,48.428405
13.748825,48.082513
13.344574,47.732636
12.945943,47.378894
12.553022,47.021408
12.165898,46.660301
11.784657,46.295697
11.409379,45.927722
11.040144,45.556501
10.677030,45.182162
10.320110,44.804833
9.969456,44.424644
9.625137,44.041725
9.287219,43.656207
8.955766,43.268221
8.630838,42.877901
8.312493,42.485378
8.000789,42.090786
7.695776,41.694259
7.397507,41.295931
7.106029,40.895937
6.821387,40.494411
6.543623,40.091488
6.272779,39.687303
6.008891,39.281992
5.751995,38.875688
5.502124,38.468527
5.259306,38.060644
5.023571,37.652172
4.794943,37.243247
4.573446,36.834001
4.359099,36.424569
4.151920,36.015083
3.951926,35.605676
3.759130,35.196479
3.573543,34.787625
3.395174,34.379243
3.224030,33.971463
3.060115,33.564416
2.903431,33.158228
2.753980,32.753028
2.611759,32.348942
2.476765,31.946096
2.348991,31.544614
2.228430,31.144622
2.115072,30.746241
2.008906,30.349593
1.909918,29.954798
1.818092,29.561977
1.733413,29.171248
1.655860,28.782728
1.585414,28.396534
1.522053,28.012779
1.465752,27.631578
1.416486,27.253044
1.374228,26.877287
1.338950,26.504418
1.310621,26.134546
1.289211,25.767777
1.274687,25.404219
1.267015,25.043975
1.266158,24.687150
1.272081,24.333846
1.284745,23.984164
1.304111,23.638204
1.330139,23.296064
1.362787,22.957842
1.402013,22.623632
1.447772,22.293530
1.500021,21.967629
1.558713,21.646020
1.623802,21.328796
1.695240,21.016043
1.772979,20.707852
1.856969,20.404308
1.947160,20.105498
2.043501,19.811504
2.145940,19.522412
2.254425,19.238301
2.368902,18.959253
2.489318,18.685346
2.615619,18.416660
2.747748,18.153270
2.885652,17.895252
3.029272,17.642681
3.178553,17.395629
3.333438,17.154169
3.493868,16.918371
3.659787,16.688304
3.831135,16.464038
4.007854,16.245638
4.189885,16.033172
4.377169,15.826703
4.569645,15.626295
4.767255,15.432010
4.969939,15.243911
5.177635,15.062055
5.390285,14.886504
5.607828,14.717313
5.830204,14.554539
6.057351,14.398239
6.289211,14.248464
6.525723,14.105269
6.766826,13.968706
7.012461,13.838823
7.262567,13.715671
7.517086,13.599298
7.775957,13.489750
8.039121,13.387072
8.306521,13.291310
8.578096,13.202505
8.853789,13.120700
9.133542,13.045934
9.417298,12.978247
9.705000,12.917677
9.996592,12.864259
10.292018,12.818030
10.591223,12.779021
10.894153,12.747266
11.200752,12.722796
11.510970,12.705639
11.824752,12.695823
12.142048,12.693374
12.462807,12.698318
12.786979,12.710676
13.114515,12.730472
13.445367,12.757724
13.779487,12.792450
14.116830,12.834668
14.457351,12.884390
14.801005,12.941631
15.147749,13.006401
15.497543,13.078709
15.850344,13.158561
16.206114,13.245963
16.564815,13.340918
16.926409,13.443426
17.290860,13.553485
17.658134,13.671091
18.028197,13.796239
18.401017,13.928919
18.776564,14.069120
19.154808,14.216828
19.535721,14.372026
19.919276,14.534696
20.305446,14.704815
20.694208,14.882357
21.085539,15.067295
21.479415,15.259596
21.875816,15.459226
22.274722,15.666148
22.676114,15.880318
23.079975,16.101692
23.486287,16.330221
23.895033,16.565852
24.306199,16.808528
24.719770,17.058188
25.135731,17.314766
25.554067,17.578194
25.974766,17.848397
26.397814,18.125296
26.823196,18.408807
27.250898,18.698843
27.680906,18.995310
28.113205,19.298109
28.547777,19.607137
28.984606,19.922284
29.423673,20.243435
29.864957,20.570470
30.308435,20.903264
30.754083,21.241684
31.201872,21.585593
31.651771,21.934847
32.103747,22.289296
32.557761,22.648786
33.013771,23.013153
33.471730,23.382231
33.931586,23.755847
34.393281,24.133819
34.856752,24.515963
35.321929,24.902088
35.788735,25.291997
36.257085,25.685486
36.726888,26.082349
37.198043,26.482372
37.670439,26.885337
38.143959,27.291023
38.618474,27.699203
39.093846,28.109646
39.569924,28.522118
40.046548,28.936384
40.523548,29.352203
41.000738,29.769334
41.477925,30.187535
41.954900,30.606562
42.431443,31.026171
42.907323,31.446119
43.382293,31.866164
43.856097,32.286066
44.328464,32.705586
44.799113,33.124491
45.267748,33.542550
45.734065,33.959537
46.197744,34.375232
46.658459,34.789420
47.115871,35.201896
47.569631,35.612459
48.019383,36.020919
48.464762,36.427093
48.905395,36.830808
49.340905,37.231901
49.770909,37.630220
50.195018,38.025623
50.612844,38.417979
51.023995,38.807168
51.428078,39.193083
51.824703,39.575628
52.213482,39.954716
52.594028,40.330276
52.965962,40.702244
53.328910,41.070569
