x_mm,y_mm
21.043371,50.877669
21.476964,51.512164
21.905746,52.143458
22.329310,52.771202
22.747243,53.395062
23.159132,54.014717
23.564565,54.629860
23.963130,55.240198
24.354416,55.845453
24.738019,56.445364
25.113538,57.039683
25.480580,57.628179
25.838760,58.210635
26.187702,58.786852
26.527040,59.356643
26.856421,59.919836
27.175503,60.476276
27.483958,61.025819
27.781472,61.568336
28.067747,62.103711
28.342500,62.631838
28.605464,63.152626
28.856390,63.665991
29.095045,64.171864
29.321213,64.670180
29.534698,65.160888
29.735318,65.643942
29.922912,66.119303
30.097335,66.586941
30.258461,67.046831
30.406178,67.498952
30.540396,67.943290
30.661037,68.379833
30.768043,68.808574
30.861370,69.229508
30.940992,69.642632
31.006895,70.047948
31.059082,70.445456
31.097568,70.835158
31.122386,71.217058
31.133576,71.591159
31.131197,71.957465
31.115314,72.315980
31.086007,72.666707
31.043367,73.009648
30.987493,73.344804
30.918497,73.672178
30.836496,73.991769
30.741621,74.303576
30.634006,74.607596
30.513796,74.903826
30.381142,75.192261
30.236203,75.472894
30.079142,75.745719
29.910130,76.010727
29.729342,76.267908
29.536960,76.517250
29.333167,76.758743
29.118155,76.992373
28.892116,77.218125
28.655247,77.435986
28.407750,77.645940
28.149826,77.847970
27.881683,78.042060
27.603528,78.228193
27.315572,78.406350
27.018028,78.576515
26.711109,78.738668
26.395032,78.892793
26.070013,79.038871
25.736269,79.176885
25.394021,79.306817
25.043487,79.428650
24.684887,79.542368
24.318442,79.647955
23.944372,79.745395
23.562899,79.834674
23.174242,79.915779
22.778623,79.988698
22.376262,80.053418
21.967380,80.109930
21.552195,80.158224
21.130926,80.198293
20.703793,80.230131
20.271013,80.253732
19.832802,80.269094
19.389378,80.276215
18.940954,80.275094
18.487745,80.265733
18.029964,80.248136
17.567824,80.222309
17.101533,80.188257
16.631303,80.145991
16.157341,80.095521
15.679853,80.036861
15.199046,79.970025
14.715123,79.895030
14.228287,79.811896
13.738739,79.720644
13.246677,79.621298
12.752300,79.513883
12.255804,79.398427
11.757383,79.274960
11.257230,79.143514
10.755536,79.004124
10.252490,78.856826
9.748279,78.701660
