x_mm,y_mm
21.043371,50.877669
21.905746,52.143458
22.747243,53.395062
23.564565,54.629860
24.354416,55.845453
25.113538,57.039683
25.838760,58.210635
26.527040,59.356643
27.175503,60.476276
27.781472,61.568336
28.342500,62.631838
28.856390,63.665991
29.321213,64.670180
29.735318,65.643942
30.097335,66.586941
30.406178,67.498952
30.661037,68.379833
30.861370,69.229508
31.006895,70.047948
31.097568,70.835158
31.133576,71.591159
31.115314,72.315980
31.043367,73.009648
30.918497,73.672178
30.741621,74.303576
30.513796,74.903826
30.236203,75.472894
29.910130,76.010727
29.536960,76.517250
29.118155,76.992373
28.655247,77.435986
28.149826,77.847970
27.603528,78.228193
27.018028,78.576515
26.395032,78.892793
25.736269,79.176885
25.043487,79.428650
24.318442,79.647955
23.562899,79.834674
22.778623,79.988698
21.967380,80.109930
21.130926,80.198293
20.271013,80.253732
19.389378,80.276215
18.487745,80.265733
17.567824,80.222309
16.631303,80.145991
15.679853,80.036861
14.715123,79.895030
13.738739,79.720644
12.752300,79.513883
11.757383,79.274960
10.755536,79.004124
9.748279,78.701660
8.737103,78.367889
7.723470,78.003167
6.708809,77.607885
5.694521,77.182471
4.681970,76.727387
3.672490,76.243132
2.667379,75.730235
1.667902,75.189261
0.675288,74.620808
-0.309270,74.025505
-1.284614,73.404011
-2.249624,72.757016
-3.203217,72.085238
-4.144346,71.389422
-5.072003,70.670339
-5.985217,69.928786
-6.883057,69.165583
-7.764626,68.381572
-8.629070,67.577616
-9.475570,66.754597
-10.303346,65.913414
-11.111656,65.054985
-11.899796,64.180242
-12.667099,63.290128
-13.412937,62.385601
-14.136716,61.467630
-14.837881,60.537191
-15.515912,59.595270
-16.170324,58.642859
-16.800670,57.680954
-17.406534,56.710559
-17.987536,55.732676
-18.543328,54.748313
-19.073598,53.758476
-19.578061,52.764174
-20.056468,51.766412
-20.508598,50.766194
-20.934261,49.764522
-21.333298,48.762394
-21.705575,47.760804
-22.050989,46.760741
-22.369464,45.763190
-22.660949,44.769128
-22.925422,43.779529
-23.162885,42.795359
-23.373363,41.817576
-23.556909,40.847134
-23.713596,39.884977
-23.843523,38.932045
-23.946810,37.989267
-24.023599,37.057567
-24.074056,36.137860
-24.098364,35.231056
-24.096730,34.338054
-24.069379,33.459748
-24.016557,32.597024
-23.938527,31.750760
-23.835574,30.921827
-23.707998,30.111087
-23.556118,29.319399
-23.380269,28.547610
-23.180804,27.796562
-22.958091,27.067089
-22.712513,26.360020
-22.444469,25.676175
-22.154370,25.016366
-21.842642,24.381400
-21.509723,23.772076
-21.156063,23.189186
-20.782121,22.633514
-20.388369,22.105838
-19.975285,21.606927
-19.543357,21.137545
-19.093078,20.698447
-18.624948,20.290379
-18.139470,19.914080
-17.637150,19.570282
-17.118497,19.259706
-16.584017,18.983065
-16.034217,18.741064
-15.469599,18.534394
-14.890660,18.363739
-14.297890,18.229768
-13.691769,18.133141
-13.072767,18.074501
-12.441340,18.054477
-11.797930,18.073682
-11.142959,18.132710
-10.476830,18.232133
-9.799925,18.372501
-9.112599,18.554338
-8.415184,18.778139
-7.707979,19.044365
-6.991256,19.353441
-6.265253,19.705749
-5.530175,20.101623
-4.786192,20.541344
-4.033438,21.025133
-3.272012,21.553141
-2.501978,22.125446
-1.723367,22.742036
-0.936178,23.402808
-0.140385,24.107551
0.664064,24.855938
1.477235,25.647513
2.299203,26.481679
3.130042,27.357687
3.969816,28.274625
4.818560,29.231402
5.676270,30.226745
6.542885,31.259180
7.418267,32.327035
8.302182,33.428426
9.194278,34.561263
10.094064,35.723243
11.000887,36.911862
11.913913,38.124424
12.832106,39.358051
13.754211,40.609706
14.678742,41.876218
15.603971,43.154308
16.527928,44.440623
17.448398,45.731770
18.362935,47.024359
19.268876,48.315035
20.163363,49.600525
