x_mm,y_mm
68.860721,74.944987
69.594377,75.353731
70.315885,75.753765
71.024412,76.145128
71.719146,76.527880
72.399306,76.902111
73.064139,77.267930
73.712925,77.625468
74.344978,77.974876
74.959650,78.316321
75.556331,78.649984
76.134450,78.976060
76.693478,79.294752
77.232926,79.606273
77.752349,79.910841
78.251343,80.208678
78.729545,80.500008
79.186637,80.785053
79.622339,81.064035
80.036414,81.337172
80.428664,81.604674
80.798929,81.866749
81.147088,82.123592
81.473053,82.375391
81.776774,82.622326
82.058232,82.864562
82.317441,83.102254
82.554443,83.335545
82.769309,83.564566
82.962138,83.789433
83.133051,84.010249
83.282195,84.227106
83.409736,84.440081
83.515862,84.649237
83.600779,84.854625
83.664709,85.056283
83.707891,85.254238
83.730576,85.448502
83.733030,85.639078
83.715530,85.825958
83.678363,86.009120
83.621824,86.188536
83.546219,86.364165
83.451859,86.535961
83.339062,86.703865
83.208153,86.867814
83.059460,87.027735
82.893314,87.183550
82.710053,87.335174
82.510013,87.482517
82.293536,87.625484
82.060964,87.763974
81.812640,87.897886
81.548908,88.027111
81.270113,88.151539
80.976599,88.271059
80.668710,88.385555
80.346789,88.494913
80.011179,88.599013
79.662222,88.697740
79.300258,88.790974
78.925626,88.878598
78.538663,88.960493
78.139704,89.036543
77.729083,89.106630
77.307132,89.170642
76.874180,89.228463
76.430554,89.279982
75.976581,89.325091
75.512582,89.363681
75.038879,89.395648
74.555789,89.420891
74.063628,89.439310
73.562711,89.450809
73.053347,89.455296
72.535845,89.452681
72.010512,89.442878
71.477651,89.425806
70.937562,89.401387
70.390544,89.369545
69.836893,89.330210
69.276903,89.283317
68.710863,89.228804
68.139063,89.166612
67.561787,89.096689
66.979319,89.018986
66.391939,88.933458
65.799925,88.840066
65.203552,88.738775
64.603092,88.629554
63.998816,88.512378
63.390990,88.387225
62.779880,88.254079
62.165746,88.112930
61.548848,87.963770
60.929443,87.806598
60.307783,87.641416
59.684120,87.468234
59.058703,87.287064
58.431775,87.097924
57.803580,86.900836
57.174356,86.695828
56.544341,86.482933
55.913768,86.262189
55.282868,86.033636
54.651869,85.797323
54.020994,85.553301
53.390465,85.301628
52.760502,85.042364
52.131318,84.775576
51.503127,84.501334
50.876136,84.219716
50.250552,83.930800
49.626576,83.634673
49.004408,83.331423
48.384242,83.021144
47.766271,82.703936
47.150683,82.379901
46.537663,82.049146
45.927393,81.711784
45.320049,81.367930
44.715807,81.017705
44.114837,80.661232
43.517304,80.298640
42.923372,79.930061
42.333200,79.555632
41.746942,79.175492
41.164750,78.789785
40.586772,78.398658
40.013149,78.002262
39.444021,77.600751
38.879523,77.194283
38.319787,76.783018
37.764938,76.367121
37.215099,75.946757
36.670389,75.522097
36.130922,75.093312
35.596807,74.660578
35.068151,74.224072
34.545054,73.783973
34.027614,73.340463
33.515924,72.893726
33.010071,72.443947
32.510141,71.991313
32.016212,71.536012
31.528360,71.078235
31.046658,70.618173
30.571170,70.156018
30.101961,69.691962
29.639089,69.226199
29.182607,68.758922
28.732567,68.290326
28.289013,67.820604
27.851989,67.349950
27.421531,66.878557
26.997673,66.406619
26.580447,65.934327
26.169876,65.461872
25.765985,64.989445
25.368792,64.517232
24.978311,64.045421
24.594554,63.574198
24.217530,63.103744
23.847243,62.634242
23.483694,62.165869
23.126882,61.698801
22.776802,61.233212
22.433447,60.769271
22.096807,60.307147
21.766867,59.847003
21.443614,59.389000
21.127030,58.933295
20.817093,58.480043
20.513781,58.029393
20.217071,57.581490
19.926937,57.136479
19.643350,56.694496
19.366280,56.255676
19.095698,55.820148
18.831570,55.388040
18.573863,54.959472
18.322543,54.534561
18.077575,54.113422
17.838921,53.696162
17.606546,53.282886
17.380411,52.873696
17.160479,52.468686
16.946712,52.067949
16.739071,51.671574
16.537517,51.279643
16.342013,50.892238
16.152520,50.509434
15.968999,50.131304
15.791413,49.757917
15.619724,49.389338
15.453896,49.025629
15.293890,48.666849
15.139672,48.313053
14.991207,47.964294
14.848458,47.620621
14.711393,47.282083
14.579979,46.948722
14.454182,46.620581
14.333972,46.297700
14.219318,45.980116
14.110190,45.667865
14.006560,45.360981
13.908400,45.059497
13.815683,44.763442
13.728384,44.472846
13.646477,44.187738
13.569940,43.908145
13.498749,43.634092
13.432882,43.365605
13.372320,43.102709
13.317041,42.845429
13.267029,42.593787
13.222264,42.347808
13.182730,42.107515
13.148411,41.872931
13.119292,41.644079
13.095361,41.420983
13.076602,41.203667
13.063005,40.992155
13.054559,40.786471
13.051253,40.586641
13.053077,40.392689
13.060024,40.204642
13.072085,40.022526
13.089255,39.846370
13.111526,39.676202
13.138895,39.512050
13.171356,39.353945
13.208906,39.201919
13.251544,39.056002
13.299266,38.916229
13.352072,38.782633
13.409962,38.655249
13.472936,38.534113
13.540997,38.419263
13.614146,38.310738
13.692387,38.208576
13.775724,38.112817
13.864161,38.023505
13.957706,37.940681
14.056364,37.864389
14.160143,37.794674
14.269052,37.731583
14.383100,37.675162
14.502299,37.625459
14.626660,37.582524
14.756195,37.546406
14.890920,37.517156
15.030847,37.494827
15.175994,37.479472
15.326379,37.471143
15.482019,37.469896
15.642935,37.475786
15.809148,37.488868
15.980681,37.509200
16.157557,37.536839
16.339803,37.571842
16.527445,37.614269
16.720513,37.664177
16.919037,37.721626
17.123049,37.786675
17.332583,37.859384
17.547675,37.939813
17.768362,38.028021
17.994684,38.124068
18.226684,38.228013
18.464404,38.339917
18.707891,38.459837
18.957192,38.587832
19.212359,38.723960
19.473444,38.868277
19.740503,39.020841
20.013592,39.181705
20.292773,39.350925
20.578108,39.528551
20.869662,39.714636
21.167504,39.909227
21.471703,40.112374
21.782335,40.324120
22.099475,40.544509
22.423201,40.773581
22.753597,41.011373
23.090746,41.257919
23.434737,41.513252
23.785659,41.777397
24.143606,42.050379
24.508672,42.332218
24.880958,42.622927
25.260563,42.922517
25.647591,43.230993
26.042148,43.548355
26.444343,43.874595
26.854284,44.209700
27.272085,44.553652
27.697858,44.906423
28.131720,45.267978
28.573785,45.638276
29.024172,46.017267
29.482998,46.404889
29.950380,46.801074
30.426435,47.205744
30.911281,47.618808
31.405031,48.040168
31.907800,48.469710
32.419697,48.907313
32.940830,49.352841
33.471303,49.806145
34.011213,50.267064
34.560654,50.735422
35.119712,51.211031
35.688466,51.693687
36.266986,52.183170
36.855334,52.679248
37.453559,53.181672
38.061699,53.690175
38.679779,54.204478
39.307809,54.724284
39.945784,55.249280
40.593681,55.779137
41.251458,56.313512
41.919053,56.852043
42.596382,57.394356
43.283340,57.940061
43.979795,58.488753
44.685590,59.040015
45.400539,59.593415
46.124430,60.148512
46.857018,60.704852
47.598028,61.261972
48.347153,61.819402
49.104050,62.376664
49.868345,62.933274
50.639626,63.488747
51.417446,64.042595
52.201322,64.594329
52.990736,65.143466
53.785131,65.689525
54.583918,66.232031
55.386470,66.770520
56.192126,67.304537
57.000193,67.833643
57.809944,68.357412
58.620625,68.875436
59.431452,69.387330
60.241615,69.892725
61.050281,70.391281
61.856596,70.882681
62.659689,71.366634
63.458675,71.842877
64.252656,72.311179
65.040729,72.771335
65.821983,73.223174
66.595512,73.666554
67.360408,74.101364
68.115774,74.527525
