x_mm,y_mm
61.093042,6.820921
61.173173,7.369620
61.211195,7.912241
61.206749,8.449104
61.159615,8.980513
61.069713,9.506735
60.937100,10.027994
60.761965,10.544450
60.544621,11.056196
60.285505,11.563248
59.985161,12.065537
59.644235,12.562908
59.263467,13.055119
58.843678,13.541840
58.385763,14.022656
57.890681,14.497070
57.359446,14.964512
56.793122,15.424339
56.192813,15.875847
55.559656,16.318280
54.894821,16.750830
54.199498,17.172654
53.474900,17.582878
52.722255,17.980603
51.942807,18.364917
51.137808,18.734900
50.308523,19.089628
49.456224,19.428187
48.582188,19.749670
47.687700,20.053189
46.774048,20.337877
45.842527,20.602894
44.894434,20.847428
43.931069,21.070704
42.953736,21.271981
41.963740,21.450560
40.962390,21.605783
39.950995,21.737036
38.930866,21.843753
37.903313,21.925415
36.869648,21.981553
35.831181,22.011746
34.789220,22.015627
33.745071,21.992881
32.700038,21.943242
31.655420,21.866502
30.612511,21.762503
29.572598,21.631140
28.536962,21.472364
27.506877,21.286177
26.483604,21.072634
25.468397,20.831845
24.462494,20.563970
23.467124,20.269222
22.483499,19.947865
21.512815,19.600214
20.556252,19.226633
19.614969,18.827535
18.690107,18.403383
17.782785,17.954685
16.894099,17.481996
16.025119,16.985917
15.176891,16.467092
14.350433,15.926207
13.546735,15.363991
12.766755,14.781211
12.011420,14.178673
11.281626,13.557221
10.578233,12.917733
9.902065,12.261119
9.253910,11.588325
8.634518,10.900324
8.044598,10.198116
7.484820,9.482729
6.955813,8.755216
6.458161,8.016649
5.992407,7.268122
5.559047,6.510746
5.158534,5.745647
4.791273,4.973967
4.457624,4.196855
4.157899,3.415472
3.892362,2.630983
3.661231,1.844560
3.464673,1.057374
3.302810,0.270597
3.175713,-0.514601
3.083407,-1.297056
3.025868,-2.075611
3.003026,-2.849116
3.014763,-3.616434
3.060915,-4.376442
3.141273,-5.128029
3.255584,-5.870105
3.403548,-6.601595
3.584827,-7.321445
3.799038,-8.028626
4.045759,-8.722130
4.324529,-9.400972
4.634850,-10.064198
4.976187,-10.710878
5.347970,-11.340112
5.749596,-11.951029
6.180433,-12.542790
6.639814,-13.114587
7.127049,-13.665643
7.641417,-14.195218
8.182176,-14.702603
8.748558,-15.187124
9.339774,-15.648144
9.955015,-16.085061
10.593456,-16.497309
11.254252,-16.884360
11.936546,-17.245722
12.639466,-17.580941
13.362129,-17.889603
14.103642,-18.171331
14.863105,-18.425786
15.639607,-18.652670
16.432237,-18.851723
17.240076,-19.022727
18.062204,-19.165503
18.897700,-19.279910
19.745643,-19.365852
20.605114,-19.423270
21.475198,-19.452150
22.354981,-19.452516
23.243558,-19.424437
24.140027,-19.368020
25.043495,-19.283419
25.953079,-19.170828
26.867903,-19.030482
27.787102,-18.862664
28.709822,-18.667695
29.635219,-18.445943
30.562462,-18.197820
31.490733,-17.923778
32.419225,-17.624319
33.347144,-17.299983
34.273708,-16.951359
35.198147,-16.579078
36.119703,-16.183816
37.037627,-15.766293
37.951182,-15.327272
38.859637,-14.867561
39.762271,-14.388009
40.658364,-13.889508
41.547204,-13.372993
42.428075,-12.839435
43.300262,-12.289845
44.163046,-11.725272
45.015696,-11.146797
45.857474,-10.555532
46.687624,-9.952620
47.505372,-9.339226
48.309921,-8.716535
49.100447,-8.085748
49.876096,-7.448074
50.635978,-6.804727
51.379166,-6.156915
52.104690,-5.505837
52.811540,-4.852669
53.498656,-4.198561
54.164935,-3.544624
54.809227,-2.891922
55.430338,-2.241463
56.027031,-1.594186
56.598035,-0.950959
57.142046,-0.312561
57.657737,0.320317
58.143768,0.947082
58.598796,1.567245
59.021487,2.180418
59.410531,2.786324
59.764654,3.384785
60.082633,3.975725
60.363313,4.559163
60.605620,5.135198
60.808573,5.704005
60.971299,6.265819
