x_mm,y_mm
67.975091,29.943775
68.128280,30.171734
68.273776,30.396801
68.411449,30.618965
68.541174,30.838220
68.662833,31.054559
68.776310,31.267981
68.881499,31.478484
68.978295,31.686071
69.066604,31.890742
69.146333,32.092503
69.217399,32.291357
69.279725,32.487312
69.333238,32.680373
69.377876,32.870547
69.413579,33.057842
69.440297,33.242264
69.457986,33.423822
69.466609,33.602521
69.466135,33.778367
69.456540,33.951367
69.437808,34.121524
69.409929,34.288842
69.372900,34.453324
69.326724,34.614971
69.271411,34.773781
69.206978,34.929754
69.133448,35.082885
69.050849,35.233170
68.959217,35.380601
68.858594,35.525168
68.749025,35.666862
68.630566,35.805669
68.503272,35.941574
68.367209,36.074561
68.222445,36.204610
68.069055,36.331701
67.907117,36.455811
67.736714,36.576915
67.557936,36.694986
67.370875,36.809996
67.175628,36.921915
66.972295,37.030710
66.760981,37.136348
66.541795,37.238792
66.314849,37.338007
66.080258,37.433954
65.838141,37.526592
65.588619,37.615882
65.331817,37.701780
65.067863,37.784244
64.796886,37.863229
64.519019,37.938690
64.234397,38.010582
63.943156,38.078858
63.645437,38.143471
63.341379,38.204374
63.031126,38.261519
62.714823,38.314858
62.392615,38.364342
62.064651,38.409926
61.731079,38.451559
61.392050,38.489195
61.047715,38.522787
60.698228,38.552288
60.343742,38.577651
59.984410,38.598831
59.620390,38.615783
59.251837,38.628464
58.878907,38.636829
58.501759,38.640838
58.120550,38.640448
57.735439,38.635621
57.346583,38.626318
56.954144,38.612502
56.558279,38.594138
56.159148,38.571190
55.756911,38.543627
55.351728,38.511418
54.943758,38.474533
54.533161,38.432945
54.120097,38.386629
53.704725,38.335560
53.287204,38.279718
52.867693,38.219082
52.446351,38.153634
52.023337,38.083360
51.598807,38.008244
51.172921,37.928277
50.745834,37.843449
50.317703,37.753753
49.888685,37.659185
49.458934,37.559742
49.028605,37.455423
48.597852,37.346233
48.166828,37.232174
47.735687,37.113255
47.304578,36.989484
46.873654,36.860875
46.443063,36.727440
46.012956,36.589197
45.583479,36.446166
45.154780,36.298367
44.727004,36.145825
44.300297,35.988567
43.874801,35.826622
43.450660,35.660020
43.028015,35.488797
42.607006,35.312989
42.187771,35.132634
41.770447,34.947773
41.355172,34.758451
40.942079,34.564714
40.531302,34.366609
40.122973,34.164188
39.717221,33.957504
39.314176,33.746613
38.913965,33.531571
38.516714,33.312440
38.122545,33.089281
37.731583,32.862159
37.343946,32.631141
36.959754,32.396295
36.579125,32.157692
36.202173,31.915406
35.829011,31.669511
35.459752,31.420085
35.094505,31.167207
34.733377,30.910957
34.376475,30.651419
34.023902,30.388677
33.675760,30.122818
33.332148,29.853930
32.993165,29.582104
32.658906,29.307430
32.329464,29.030002
32.004930,28.749916
31.685394,28.467266
31.370942,28.182152
31.061659,27.894672
30.757628,27.604927
30.458928,27.313019
30.165637,27.019050
29.877832,26.723126
29.595584,26.425351
29.318966,26.125831
29.048045,25.824675
28.782888,25.521991
28.523558,25.217887
28.270117,24.912474
28.022623,24.605863
27.781133,24.298165
27.545702,23.989492
27.316380,23.679957
27.093217,23.369673
26.876260,23.058754
26.665553,22.747313
26.461137,22.435465
26.263052,22.123325
26.071335,21.811006
25.886020,21.498625
25.707139,21.186295
25.534722,20.874132
25.368795,20.562250
25.209384,20.250764
25.056510,19.939788
24.910193,19.629437
24.770450,19.319824
24.637297,19.011063
24.510745,18.703267
24.390805,18.396548
24.277486,18.091018
24.170791,17.786790
24.070725,17.483972
23.977288,17.182677
23.890478,16.883011
23.810293,16.585085
23.736726,16.289006
23.669770,15.994880
23.609413,15.702812
23.555644,15.412908
23.508447,15.125271
23.467807,14.840004
23.433705,14.557207
23.406120,14.276981
23.385030,13.999425
23.370409,13.724637
23.362232,13.452713
23.360470,13.183748
23.365093,12.917835
23.376069,12.655067
23.393364,12.395536
23.416942,12.139329
23.446767,11.886536
23.482800,11.637242
23.525000,11.391533
23.573325,11.149491
23.627733,10.911200
