x_mm,y_mm
54.036268,40.805001
54.339622,41.186530
54.633908,41.564501
54.918843,41.938855
55.194150,42.309541
55.459562,42.676515
55.714821,43.039738
55.959681,43.399180
56.193903,43.754812
56.417264,44.106614
56.629548,44.454570
56.830555,44.798667
57.020096,45.138895
57.197995,45.475249
57.364089,45.807726
57.518230,46.136324
57.660281,46.461045
57.790122,46.781890
57.907644,47.098860
58.012752,47.411960
58.105366,47.721190
58.185419,48.026553
58.252857,48.328050
58.307639,48.625679
58.349737,48.919439
58.379137,49.209325
58.395835,49.495330
58.399840,49.777447
58.391173,50.055663
58.369867,50.329964
58.335964,50.600333
58.289518,50.866750
58.230592,51.129190
58.159260,51.387628
58.075603,51.642034
57.979713,51.892374
57.871689,52.138613
57.751640,52.380710
57.619680,52.618624
57.475931,52.852310
57.320523,53.081717
57.153591,53.306797
56.975277,53.527494
56.785727,53.743752
56.585093,53.955513
56.373534,54.162715
56.151211,54.365295
55.918289,54.563189
55.674940,54.756328
55.421337,54.944646
55.157658,55.128072
54.884082,55.306535
54.600793,55.479963
54.307977,55.648284
54.005823,55.811423
53.694521,55.969306
53.374264,56.121860
53.045247,56.269009
52.707666,56.410679
52.361718,56.546796
52.007602,56.677286
51.645520,56.802074
51.275671,56.921089
50.898259,57.034258
50.513486,57.141510
50.121556,57.242775
49.722673,57.337984
49.317042,57.427069
48.904868,57.509965
48.486355,57.586608
48.061710,57.656934
47.631138,57.720883
47.194844,57.778395
46.753034,57.829414
46.305912,57.873886
45.853685,57.911756
45.396556,57.942976
44.934731,57.967497
44.468412,57.985273
43.997805,57.996262
43.523111,58.000424
43.044533,57.997720
42.562273,57.988115
42.076532,57.971578
41.587511,57.948079
41.095409,57.917591
40.600425,57.880090
40.102757,57.835556
39.602603,57.783972
39.100157,57.725322
38.595617,57.659594
38.089175,57.586781
37.581024,57.506876
37.071357,57.419878
36.560365,57.325787
36.048236,57.224607
35.535160,57.116345
35.021324,57.001011
34.506913,56.878620
33.992111,56.749187
33.477102,56.612732
32.962067,56.469280
32.447186,56.318855
31.932638,56.161487
31.418600,55.997209
30.905248,55.826057
30.392755,55.648070
29.881293,55.463289
29.371033,55.271760
28.862143,55.073532
28.354791,54.868656
27.849141,54.657186
27.345357,54.439181
26.843600,54.214700
26.344029,53.983807
25.846802,53.746569
25.352075,53.503055
24.860000,53.253338
24.370729,52.997493
23.884411,52.735598
23.401193,52.467733
22.921220,52.193984
22.444634,51.914435
21.971577,51.629176
21.502185,51.338299
21.036595,51.041897
20.574940,50.740068
20.117351,50.432909
19.663956,50.120524
19.214882,49.803015
18.770252,49.480490
18.330188,49.153056
17.894808,48.820823
17.464227,48.483905
17.038561,48.142416
16.617919,47.796473
16.202409,47.446195
15.792138,47.091702
15.387208,46.733115
14.987719,46.370560
14.593769,46.004161
14.205453,45.634046
13.822862,45.260343
13.446087,44.883183
13.075213,44.502696
12.710324,44.119015
12.351502,43.732273
11.998824,43.342606
11.652366,42.950149
11.312200,42.555040
10.978397,42.157415
10.651023,41.757412
10.330143,41.355172
10.015817,40.950833
9.708105,40.544536
9.407062,40.136421
9.112742,39.726628
8.825194,39.315300
8.544466,38.902578
8.270603,38.488602
8.003646,38.073515
7.743636,37.657457
7.490609,37.240571
7.244599,36.822996
7.005637,36.404875
6.773752,35.986346
6.548969,35.567551
6.331314,35.148628
6.120805,34.729717
5.917463,34.310956
5.721303,33.892481
5.532338,33.474431
5.350580,33.056940
5.176037,32.640144
5.008716,32.224177
4.848621,31.809172
4.695754,31.395260
4.550114,30.982573
4.411699,30.571240
4.280504,30.161390
4.156523,29.753149
4.039746,29.346644
3.930162,28.941999
3.827759,28.539338
3.732522,28.138782
3.644434,27.740451
3.563477,27.344465
3.489630,26.950942
3.422871,26.559996
3.363176,26.171743
3.310521,25.786296
3.264877,25.403765
3.226216,25.024262
3.194508,24.647893
3.169722,24.274767
3.151823,23.904987
3.140778,23.538659
3.136551,23.175883
3.139103,22.816761
3.148398,22.461391
3.164395,22.109871
3.187052,21.762297
3.216329,21.418763
3.252181,21.079362
3.294565,20.744185
3.343434,20.413321
3.398743,20.086861
3.460444,19.764889
3.528488,19.447491
3.602827,19.134752
3.683411,18.826754
3.770188,18.523578
3.863106,18.225303
3.962114,17.932009
4.067158,17.643771
4.178184,17.360666
4.295136,17.082767
4.417961,16.810148
4.546602,16.542881
4.681002,16.281034
4.821105,16.024679
4.966853,15.773882
5.118187,15.528710
5.275050,15.289228
5.437382,15.055501
5.605123,14.827591
5.778214,14.605560
5.956595,14.389469
6.140206,14.179377
6.328984,13.975342
6.522870,13.777421
6.721801,13.585670
6.925717,13.400144
7.134555,13.220896
7.348254,13.047979
7.566751,12.881444
7.789984,12.721342
8.017891,12.567721
8.250410,12.420629
8.487477,12.280113
8.729031,12.146219
8.975010,12.018990
9.225350,11.898472
9.479990,11.784705
9.738867,11.677731
10.001920,11.577589
10.269086,11.484319
10.540304,11.397958
10.815513,11.318542
11.094651,11.246106
11.377658,11.180685
11.664472,11.122310
11.955034,11.071014
12.249284,11.026826
12.547162,10.989775
12.848610,10.959889
13.153568,10.937194
13.461979,10.921715
13.773785,10.913475
14.088929,10.912496
14.407356,10.918799
14.729008,10.932403
15.053831,10.953325
15.381770,10.981582
15.712772,11.017189
16.046784,11.060157
16.383753,11.110499
16.723627,11.168225
17.066357,11.233341
17.411892,11.305854
17.760182,11.385769
18.111181,11.473088
18.464839,11.567812
18.821112,11.669939
19.179953,11.779466
19.541318,11.896387
19.905164,12.020695
20.271446,12.152381
20.640124,12.291431
21.011157,12.437833
21.384505,12.591569
21.760128,12.752620
22.137989,12.920964
22.518051,13.096578
22.900277,13.279434
23.284632,13.469503
23.671082,13.666752
24.059592,13.871146
24.450130,14.082647
24.842664,14.301212
25.237162,14.526798
25.633592,14.759356
26.031925,14.998836
26.432131,15.245182
26.834180,15.498336
27.238043,15.758235
27.643691,16.024816
28.051094,16.298007
28.460224,16.577735
28.871052,16.863923
29.283548,17.156489
29.697683,17.455348
30.113425,17.760408
30.530743,18.071575
30.949605,18.388750
31.369978,18.711830
31.791826,19.040705
32.215114,19.375264
32.639802,19.715387
33.065851,20.060952
33.493218,20.411832
33.921857,20.767893
34.351721,21.128999
34.782757,21.495007
35.214912,21.865769
35.648125,22.241132
36.082336,22.620941
36.517476,23.005031
36.953475,23.393237
37.390254,23.785386
37.827731,24.181302
38.265820,24.580805
38.704425,24.983707
39.143446,25.389821
