x_mm,y_mm
27.635278,45.471136
27.981111,46.053354
28.320364,46.632908
28.652736,47.209542
28.977930,47.783010
29.295648,48.353074
29.605596,48.919508
29.907487,49.482092
30.201036,50.040617
30.485965,50.594884
30.762005,51.144702
31.028892,51.689892
31.286370,52.230281
31.534195,52.765707
31.772128,53.296016
31.999944,53.821065
32.217428,54.340716
32.424374,54.854840
32.620590,55.363318
32.805894,55.866035
32.980117,56.362886
33.143103,56.853770
33.294709,57.338594
33.434802,57.817270
33.563264,58.289716
33.679990,58.755854
33.784887,59.215611
33.877874,59.668918
33.958886,60.115712
34.027866,60.555929
34.084773,60.989513
34.129575,61.416407
34.162255,61.836559
34.182806,62.249917
34.191231,62.656433
34.187548,63.056060
34.171781,63.448751
34.143968,63.834461
34.104154,64.213148
34.052397,64.584766
33.988761,64.949276
33.913322,65.306633
33.826162,65.656798
33.727373,65.999729
33.617053,66.335384
33.495309,66.663722
33.362254,66.984704
33.218010,67.298288
33.062702,67.604434
32.896463,67.903100
32.719431,68.194246
32.531752,68.477831
32.333573,68.753815
32.125047,69.022156
31.906335,69.282815
31.677596,69.535750
31.438999,69.780922
31.190713,70.018291
30.932910,70.247817
30.665768,70.469460
30.389466,70.683183
30.104186,70.888946
29.810112,71.086713
29.507432,71.276445
29.196333,71.458107
28.877008,71.631663
28.549647,71.797079
28.214446,71.954321
27.871600,72.103357
27.521305,72.244155
27.163759,72.376685
26.799160,72.500918
26.427707,72.616828
26.049602,72.724387
25.665044,72.823572
25.274234,72.914359
24.877374,72.996728
24.474665,73.070658
24.066309,73.136132
23.652507,73.193134
23.233461,73.241651
22.809371,73.281669
22.380440,73.313179
21.946867,73.336174
21.508853,73.350646
21.066598,73.356594
20.620300,73.354014
20.170158,73.342909
19.716371,73.323281
19.259134,73.295136
18.798643,73.258481
18.335095,73.213327
17.868682,73.159686
17.399599,73.097574
16.928036,73.027008
16.454186,72.948009
15.978237,72.860598
15.500377,72.764802
15.020794,72.660648
14.539673,72.548166
14.057199,72.427389
13.573553,72.298353
13.088918,72.161096
12.603473,72.015658
12.117395,71.862083
11.630862,71.700418
11.144047,71.530709
10.657123,71.353009
10.170262,71.167371
9.683633,70.973852
9.197403,70.772510
8.711738,70.563407
8.226800,70.346607
7.742752,70.122176
7.259753,69.890183
6.777960,69.650700
6.297528,69.403800
5.818612,69.149561
5.341361,68.888060
4.865925,68.619380
4.392450,68.343602
3.921081,68.060814
3.451959,67.771103
2.985225,67.474560
2.521015,67.171277
2.059465,66.861348
1.600707,66.544871
1.144872,66.221945
0.692088,65.892670
0.242480,65.557149
-0.203830,65.215487
-0.646720,64.867790
-1.086073,64.514168
-1.521773,64.154730
-1.953708,63.789588
-2.381766,63.418857
-2.805841,63.042650
-3.225826,62.661086
-3.641619,62.274283
-4.053120,61.882359
-4.460231,61.485437
-4.862856,61.083638
-5.260904,60.677086
-5.654284,60.265906
-6.042908,59.850224
-6.426692,59.430167
-6.805552,59.005862
-7.179410,58.577439
-7.548187,58.145026
-7.911809,57.708755
-8.270202,57.268756
-8.623297,56.825161
-8.971026,56.378102
-9.313323,55.927712
-9.650125,55.474124
-9.981373,55.017472
-10.307007,54.557889
-10.626971,54.095510
-10.941211,53.630467
-11.249677,53.162897
-11.552317,52.692933
-11.849086,52.220708
-12.139938,51.746358
-12.424830,51.270017
-12.703720,50.791817
-12.976570,50.311894
-13.243343,49.830379
-13.504003,49.347405
-13.758517,48.863106
-14.006853,48.377613
-14.248982,47.891058
-14.484877,47.403570
-14.714510,46.915282
-14.937857,46.426321
-15.154896,45.936818
-15.365605,45.446901
-15.569965,44.956697
-15.767956,44.466333
-15.959563,43.975935
-16.144771,43.485629
-16.323564,42.995539
-16.495932,42.505788
-16.661863,42.016499
-16.821346,41.527795
-16.974375,41.039796
-17.120940,40.552622
-17.261037,40.066394
-17.394659,39.581229
-17.521805,39.097244
-17.642471,38.614558
-17.756656,38.133284
-17.864359,37.653540
-17.965582,37.175438
-18.060326,36.699092
-18.148594,36.224615
-18.230390,35.752118
-18.305720,35.281712
-18.374589,34.813508
-18.437005,34.347614
-18.492975,33.884140
-18.542509,33.423193
-18.585616,32.964881
-18.622309,32.509310
-18.652598,32.056586
-18.676497,31.606815
-18.694020,31.160100
-18.705182,30.716547
-18.709999,30.276258
-18.708489,29.839337
-18.700668,29.405885
-18.686557,28.976006
-18.666174,28.549799
-18.639542,28.127367
-18.606682,27.708809
-18.567617,27.294226
-18.522372,26.883717
-18.470971,26.477382
-18.413441,26.075319
-18.349808,25.677627
-18.280102,25.284403
-18.204351,24.895746
-18.122585,24.511752
-18.034836,24.132520
-17.941137,23.758145
-17.841520,23.388724
-17.736021,23.024352
-17.624675,22.665127
-17.507518,22.311143
-17.384589,21.962495
-17.255926,21.619278
-17.121568,21.281587
-16.981558,20.949516
-16.835937,20.623158
-16.684747,20.302608
-16.528033,19.987958
-16.365840,19.679303
-16.198214,19.376733
-16.025201,19.080342
-15.846851,18.790221
-15.663212,18.506462
-15.474334,18.229156
-15.280269,17.958394
-15.081067,17.694266
-14.876782,17.436863
-14.667468,17.186273
-14.453179,16.942587
-14.233971,16.705892
-14.009900,16.476276
-13.781023,16.253828
-13.547399,16.038634
-13.309085,15.830782
-13.066142,15.630356
-12.818629,15.437443
-12.566607,15.252126
-12.310137,15.074492
-12.049282,14.904622
-11.784105,14.742599
-11.514667,14.588506
-11.241034,14.442424
-10.963268,14.304433
-10.681435,14.174614
-10.395599,14.053044
-10.105825,13.939802
-9.812180,13.834965
-9.514727,13.738608
-9.213535,13.650808
-8.908667,13.571637
-8.600191,13.501169
-8.288173,13.439475
-7.972679,13.386627
-7.653775,13.342692
-7.331527,13.307740
-7.006001,13.281838
-6.677262,13.265049
-6.345376,13.257439
-6.010409,13.259069
-5.672424,13.270000
-5.331487,13.290292
-4.987660,13.320001
-4.641008,13.359184
-4.291593,13.407894
-3.939478,13.466183
-3.584723,13.534100
-3.227390,13.611693
-2.867539,13.699008
-2.505228,13.796087
-2.140517,13.902971
-1.773462,14.019698
-1.404121,14.146304
-1.032548,14.282822
-0.658799,14.429280
-0.282927,14.585706
0.095016,14.752124
0.474977,14.928553
0.856907,15.115012
1.240757,15.311512
1.626477,15.518064
2.014022,15.734674
2.403344,15.961342
2.794400,16.198067
3.187144,16.444841
3.581535,16.701653
3.977529,16.968487
4.375087,17.245320
4.774167,17.532127
5.174731,17.828875
5.576739,18.135527
5.980152,18.452039
6.384935,18.778363
6.791047,19.114442
7.198454,19.460214
7.607116,19.815611
8.016997,20.180556
8.428058,20.554968
8.840263,20.938757
9.253571,21.331824
9.667942,21.734065
10.083335,22.145366
10.499708,22.565606
10.917016,22.994657
11.335212,23.432380
11.754246,23.878628
12.174068,24.333248
12.594623,24.796075
13.015852,25.266936
13.437692,25.745650
13.860079,26.232027
14.282941,26.725867
14.706202,27.226962
15.129782,27.735094
15.553593,28.250039
15.977545,28.771560
16.401536,29.299415
16.825462,29.833353
17.249209,30.373113
17.672657,30.918429
18.095678,31.469025
18.518135,32.024620
18.939882,32.584926
19.360768,33.149647
19.780630,33.718482
20.199296,34.291126
20.616587,34.867269
21.032313,35.446594
21.446275,36.028786
21.858267,36.613521
22.268071,37.200477
22.675463,37.789330
23.080207,38.379755
23.482062,38.971425
23.880777,39.564016
24.276093,40.157205
24.667746,40.750671
25.055462,41.344096
25.438964,41.937166
25.817968,42.529571
26.192185,43.121004
26.561322,43.711167
26.925083,44.299767
27.283169,44.886516
