x_mm,y_mm
35.604007,35.108806
36.068063,36.176958
36.503248,37.235680
36.908013,38.283367
37.280843,39.318496
37.620283,40.339633
37.924945,41.345431
38.193527,42.334634
38.424824,43.306070
38.617741,44.258653
38.771305,45.191376
38.884669,46.103308
38.957121,46.993584
38.988087,47.861405
38.977137,48.706026
38.923980,49.526753
38.828468,50.322934
38.690592,51.093955
38.510475,51.839234
38.288376,52.558217
38.024673,53.250373
37.719866,53.915188
37.374567,54.552169
36.989491,55.160835
36.565452,55.740719
36.103354,56.291366
35.604182,56.812333
35.069000,57.303190
34.498939,57.763518
33.895192,58.192914
33.259010,58.590989
32.591690,58.957368
31.894578,59.291697
31.169055,59.593641
30.416537,59.862886
29.638469,60.099140
28.836321,60.302140
28.011582,60.471648
27.165758,60.607455
26.300369,60.709383
25.416945,60.777288
24.517018,60.811058
23.602129,60.810620
22.673817,60.775935
21.733617,60.707005
20.783063,60.603870
19.823679,60.466613
18.856981,60.295355
17.884475,60.090264
16.907651,59.851547
15.927984,59.579459
14.946932,59.274294
13.965934,58.936395
12.986407,58.566146
12.009747,58.163979
11.037322,57.730367
10.070477,57.265829
9.110528,56.770927
8.158762,56.246266
7.216436,55.692496
6.284772,55.110305
5.364962,54.500424
4.458162,53.863625
3.565492,53.200717
2.688034,52.512546
1.826833,51.799997
0.982895,51.063986
0.157184,50.305465
-0.649374,49.525415
-1.435897,48.724846
-2.201544,47.904798
-2.945519,47.066334
-3.667065,46.210541
-4.365472,45.338524
-5.040072,44.451411
-5.690242,43.550342
-6.315403,42.636472
-6.915016,41.710967
-7.488589,40.775001
-8.035671,39.829754
-8.555854,38.876408
-9.048770,37.916148
-9.514094,36.950156
-9.951539,35.979610
-10.360858,35.005682
-10.741841,34.029534
-11.094316,33.052321
-11.418147,32.075182
-11.713231,31.099243
-11.979499,30.125616
-12.216915,29.155394
-12.425473,28.189653
-12.605199,27.229449
-12.756144,26.275820
-12.878390,25.329782
-12.972044,24.392331
-13.037239,23.464442
-13.074133,22.547070
-13.082907,21.641146
-13.063766,20.747585
-13.016938,19.867277
-12.942670,19.001096
-12.841233,18.149893
-12.712917,17.314503
-12.558033,16.495742
-12.376912,15.694407
-12.169903,14.911278
-11.937375,14.147119
-11.679716,13.402678
-11.397331,12.678686
-11.090645,11.975859
-10.760099,11.294899
-10.406152,10.636493
-10.029280,10.001312
-9.629976,9.390013
-9.208748,8.803241
-8.766122,8.241624
-8.302639,7.705777
-7.818851,7.196299
-7.315331,6.713776
-6.792659,6.258778
-6.251432,5.831859
-5.692258,5.433560
-5.115758,5.064404
-4.522561,4.724895
-3.913307,4.415525
-3.288646,4.136764
-2.649236,3.889066
-1.995739,3.672865
-1.328826,3.488574
-0.649171,3.336589
0.042548,3.217282
0.745649,3.131003
1.459451,3.078079
2.183273,3.058815
2.916433,3.073488
3.658253,3.122351
4.408060,3.205629
5.165183,3.323517
5.928960,3.476183
6.698733,3.663761
7.473858,3.886353
8.253694,4.144026
9.037615,4.436812
9.825005,4.764703
10.615259,5.127650
11.407788,5.525563
12.202011,5.958307
12.997366,6.425697
13.793298,6.927499
14.589271,7.463427
15.384755,8.033136
16.179236,8.636223
16.972207,9.272223
17.763170,9.940605
18.551631,10.640767
19.337099,11.372037
20.119085,12.133665
20.897091,12.924824
21.670613,13.744606
22.439134,14.592018
23.202115,15.465982
23.958997,16.365334
24.709185,17.288820
25.452051,18.235102
26.186921,19.202755
26.913074,20.190268
27.629731,21.196053
28.336053,22.218444
29.031133,23.255707
29.713994,24.306045
30.383587,25.367608
31.038786,26.438500
31.678390,27.516794
32.301125,28.600541
32.905648,29.687781
33.490550,30.776561
34.054365,31.864941
34.595583,32.951012
35.112653,34.032906
