x_mm,y_mm
58.826515,67.492258
59.442512,67.955907
60.050307,68.411916
60.649218,68.860158
61.238577,69.300528
61.817725,69.732940
62.386022,70.157330
62.942843,70.573652
63.487585,70.981881
64.019666,71.382008
64.538525,71.774041
65.043630,72.158003
65.534473,72.533932
66.010573,72.901879
66.471478,73.261905
66.916766,73.614082
67.346044,73.958491
67.758948,74.295220
68.155148,74.624363
68.534342,74.946019
68.896259,75.260290
69.240658,75.567281
69.567330,75.867096
69.876093,76.159841
70.166795,76.445620
70.439313,76.724535
70.693551,76.996684
70.929438,77.262164
71.146931,77.521065
71.346010,77.773472
71.526681,78.019467
71.688969,78.259123
71.832925,78.492509
71.958616,78.719685
72.066131,78.940705
72.155576,79.155617
72.227077,79.364461
72.280773,79.567270
72.316819,79.764069
72.335384,79.954876
72.336651,80.139703
72.320815,80.318555
72.288082,80.491428
72.238667,80.658315
72.172798,80.819200
72.090707,80.974062
71.992639,81.122875
71.878843,81.265606
71.749574,81.402218
71.605096,81.532669
71.445677,81.656913
71.271588,81.774899
71.083107,81.886572
70.880513,81.991875
70.664091,82.090746
70.434127,82.183123
70.190910,82.268938
69.934731,82.348123
69.665883,82.420608
69.384659,82.486322
69.091356,82.545191
68.786269,82.597142
68.469694,82.642101
68.141929,82.679992
67.803270,82.710741
67.454016,82.734273
67.094462,82.750515
66.724905,82.759392
66.345641,82.760832
65.956965,82.754765
65.559171,82.741118
65.152552,82.719825
64.737402,82.690819
64.314011,82.654034
63.882669,82.609407
63.443664,82.556880
62.997285,82.496392
62.543816,82.427890
62.083542,82.351320
61.616746,82.266632
61.143708,82.173780
60.664708,82.072721
60.180023,81.963413
59.689929,81.845820
59.194700,81.719907
58.694607,81.585646
58.189922,81.443010
57.680910,81.291976
57.167840,81.132526
56.650973,80.964645
56.130573,80.788321
55.606899,80.603549
55.080207,80.410326
54.550754,80.208654
54.018792,79.998539
53.484571,79.779990
52.948341,79.553024
52.410346,79.317658
51.870829,79.073918
51.330033,78.821831
50.788194,78.561430
50.245549,78.292752
49.702331,78.015841
49.158769,77.730744
48.615092,77.437511
48.071525,77.136200
47.528289,76.826873
46.985604,76.509596
46.443685,76.184440
45.902745,75.851482
45.362996,75.510803
44.824643,75.162490
44.287890,74.806635
43.752938,74.443333
43.219984,74.072687
42.689221,73.694804
42.160840,73.309796
41.635027,72.917779
41.111966,72.518878
40.591835,72.113219
40.074810,71.700935
39.561064,71.282166
39.050763,70.857054
38.544072,70.425748
38.041150,69.988404
37.542153,69.545179
37.047232,69.096241
36.556534,68.641757
36.070202,68.181905
35.588372,67.716865
35.111180,67.246824
34.638752,66.771972
34.171214,66.292506
33.708683,65.808629
33.251275,65.320548
32.799096,64.828474
32.352253,64.332625
31.910841,63.833223
31.474956,63.330496
31.044684,62.824675
30.620108,62.315997
30.201303,61.804703
29.788342,61.291039
29.381289,60.775254
28.980204,60.257603
28.585139,59.738343
28.196144,59.217735
27.813259,58.696046
27.436520,58.173541
27.065957,57.650494
26.701594,57.127176
26.343448,56.603864
25.991532,56.080835
25.645850,55.558367
25.306403,55.036742
24.973185,54.516238
24.646184,53.997138
24.325382,53.479720
24.010757,52.964263
23.702280,52.451046
23.399916,51.940344
23.103628,51.432430
22.813371,50.927572
22.529097,50.426037
22.250753,49.928085
21.978281,49.433972
21.711621,48.943947
21.450708,48.458253
21.195473,47.977126
20.945846,47.500795
20.701752,47.029478
20.463117,46.563386
20.229861,46.102721
20.001907,45.647671
19.779173,45.198419
19.561577,44.755132
19.349040,44.317969
19.141478,43.887076
18.938811,43.462586
18.740959,43.044621
18.547841,42.633292
18.359381,42.228696
18.175503,41.830917
17.996131,41.440029
17.821196,41.056092
17.650628,40.679156
17.484360,40.309257
17.322330,39.946424
17.164478,39.590670
17.010748,39.242002
16.861086,38.900416
16.715443,38.565897
16.573773,38.238424
16.436035,37.917965
16.302189,37.604485
16.172201,37.297937
16.046041,36.998272
15.923679,36.705434
15.805092,36.419361
15.690260,36.139989
15.579166,35.867249
15.471794,35.601070
15.368134,35.341378
15.268178,35.088097
15.171921,34.841151
15.079359,34.600463
14.990493,34.365954
14.905324,34.137548
14.823857,33.915167
14.746099,33.698737
14.672056,33.488182
14.601740,33.283431
14.535161,33.084413
14.472332,32.891060
14.413269,32.703307
14.357986,32.521091
14.306499,32.344353
14.258826,32.173035
14.214985,32.007085
14.174995,31.846452
14.138876,31.691090
14.106648,31.540957
14.078330,31.396013
14.053944,31.256221
14.033512,31.121551
14.017054,30.991974
14.004591,30.867465
13.996146,30.748003
13.991740,30.633571
13.991394,30.524155
13.995131,30.419744
14.002972,30.320332
14.014938,30.225916
14.031050,30.136496
14.051330,30.052074
14.075799,29.972659
14.104477,29.898259
14.137386,29.828888
14.174545,29.764561
14.215975,29.705298
14.261697,29.651121
14.311730,29.602054
14.366095,29.558125
14.424810,29.519363
14.487895,29.485801
14.555371,29.457474
14.627256,29.434421
14.703569,29.416679
14.784331,29.404291
14.869560,29.397302
14.959276,29.395757
15.053498,29.399705
15.152245,29.409195
15.255538,29.424278
15.363396,29.445009
15.475839,29.471443
15.592887,29.503635
15.714562,29.541645
15.840883,29.585530
15.971873,29.635353
16.107554,29.691175
16.247947,29.753059
16.393075,29.821069
16.542963,29.895269
16.697633,29.975726
16.857112,30.062506
17.021424,30.155677
17.190597,30.255306
17.364658,30.361461
17.543634,30.474211
17.727556,30.593624
