x_mm,y_mm
48.919479,37.213351
49.125264,37.535043
49.324049,37.854382
49.515677,38.171292
49.699991,38.485707
49.876842,38.797558
50.046083,39.106785
50.207572,39.413326
50.361173,39.717126
50.506754,40.018131
50.644191,40.316289
50.773363,40.611553
50.894156,40.903877
51.006464,41.193216
51.110184,41.479529
51.205222,41.762777
51.291491,42.042922
51.368909,42.319926
51.437403,42.593756
51.496906,42.864376
51.547358,43.131756
51.588706,43.395861
51.620905,43.656663
51.643918,43.914128
51.657711,44.168229
51.662263,44.418934
51.657555,44.666213
51.643579,44.910037
51.620331,45.150375
51.587816,45.387198
51.546044,45.620474
51.495032,45.850173
51.434806,46.076263
51.365394,46.298711
51.286834,46.517486
51.199169,46.732553
51.102447,46.943878
50.996723,47.151426
50.882057,47.355161
50.758514,47.555046
50.626165,47.751044
50.485086,47.943117
50.335358,48.131226
50.177067,48.315329
50.010302,48.495388
49.835158,48.671360
49.651733,48.843204
49.460132,49.010876
49.260458,49.174333
49.052825,49.333531
48.837344,49.488427
48.614133,49.638974
48.383312,49.785128
48.145005,49.926844
47.899338,50.064076
47.646439,50.196777
47.386441,50.324903
47.119476,50.448407
46.845682,50.567243
46.565196,50.681367
46.278159,50.790732
45.984713,50.895293
45.685002,50.995006
45.379171,51.089827
45.067368,51.179712
44.749742,51.264618
44.426441,51.344503
44.097618,51.419326
43.763423,51.489047
43.424012,51.553624
43.079537,51.613021
42.730153,51.667199
42.376016,51.716122
42.017283,51.759756
41.654110,51.798066
41.286654,51.831020
40.915074,51.858586
40.539526,51.880736
40.160171,51.897441
39.777165,51.908675
39.390668,51.914413
39.000839,51.914632
38.607836,51.909310
38.211817,51.898427
37.812942,51.881967
37.411368,51.859912
37.007254,51.832250
36.600757,51.798966
36.192036,51.760053
35.781246,51.715500
35.368546,51.665302
34.954090,51.609455
34.538034,51.547956
34.120534,51.480807
33.701744,51.408007
33.281817,51.329563
32.860907,51.245480
32.439165,51.155767
32.016743,51.060435
31.593793,50.959495
31.170462,50.852965
30.746900,50.740860
30.323255,50.623200
29.899674,50.500007
29.476302,50.371304
29.053284,50.237118
28.630763,50.097478
28.208882,49.952412
27.787782,49.801955
27.367603,49.646140
26.948483,49.485005
26.530560,49.318589
26.113970,49.146934
25.698848,48.970082
25.285326,48.788079
24.873538,48.600972
24.463613,48.408812
24.055680,48.211651
23.649866,48.009541
23.246299,47.802540
22.845101,47.590704
22.446396,47.374093
22.050304,47.152770
21.656946,46.926797
21.266439,46.696242
20.878898,46.461170
20.494439,46.221651
20.113174,45.977756
19.735214,45.729558
19.360667,45.477132
18.989641,45.220554
18.622241,44.959902
18.258571,44.695255
17.898732,44.426694
17.542824,44.154303
17.190944,43.878165
16.843189,43.598367
16.499652,43.314995
16.160425,43.028138
15.825598,42.737886
15.495258,42.444330
15.169492,42.147562
14.848383,41.847677
14.532014,41.544770
14.220463,41.238936
13.913808,40.930273
13.612125,40.618879
13.315487,40.304853
13.023965,39.988296
12.737629,39.669309
12.456546,39.347994
12.180781,39.024453
11.910396,38.698791
11.645452,38.371112
11.386008,38.041521
11.132121,37.710124
10.883843,37.377028
10.641229,37.042338
10.404327,36.706164
10.173185,36.368613
9.947850,36.029792
9.728365,35.689812
9.514771,35.348781
9.307107,35.006808
9.105412,34.664004
8.909719,34.320478
8.720063,33.976340
8.536473,33.631700
8.358980,33.286668
8.187609,32.941356
8.022385,32.595872
7.863331,32.250327
7.710468,31.904831
7.563813,31.559495
7.423385,31.214427
7.289196,30.869738
7.161261,30.525537
7.039588,30.181933
6.924188,29.839034
6.815066,29.496949
6.712228,29.155785
6.615677,28.815651
6.525413,28.476653
6.441435,28.138898
6.363742,27.802492
6.292328,27.467540
6.227187,27.134147
6.168312,26.802418
6.115691,26.472455
6.069315,26.144361
6.029169,25.818240
5.995239,25.494191
5.967508,25.172316
5.945958,24.852715
5.930569,24.535485
5.921320,24.220727
5.918188,23.908536
5.921149,23.599009
5.930176,23.292241
5.945242,22.988328
5.966318,22.687362
5.993374,22.389436
6.026378,22.094641
6.065298,21.803069
6.110099,21.514808
6.160745,21.229947
6.217200,20.948573
6.279424,20.670772
6.347380,20.396630
6.421026,20.126230
6.500321,19.859656
6.585221,19.596988
6.675683,19.338308
6.771662,19.083695
6.873112,18.833227
6.979986,18.586980
7.092235,18.345032
7.209811,18.107455
7.332664,17.874323
7.460743,17.645709
7.593996,17.421682
7.732372,17.202313
7.875816,16.987668
8.024275,16.777816
8.177694,16.572822
8.336017,16.372750
8.499189,16.177662
8.667153,15.987620
8.839851,15.802684
9.017225,15.622914
9.199217,15.448366
9.385768,15.279096
9.576818,15.115160
9.772307,14.956610
9.972175,14.803498
10.176361,14.655875
10.384804,14.513789
10.597441,14.377289
10.814213,14.246420
11.035055,14.121226
11.259907,14.001752
11.488704,13.888039
11.721385,13.780127
11.957886,13.678055
12.198144,13.581860
12.442096,13.491578
12.689679,13.407242
12.940829,13.328886
13.195483,13.256541
13.453577,13.190237
13.715047,13.130000
13.979832,13.075858
14.247866,13.027835
14.519087,12.985955
14.793432,12.950238
15.070838,12.920706
15.351242,12.897375
15.634582,12.880263
15.920794,12.869385
16.209818,12.864753
16.501591,12.866379
16.796051,12.874273
17.093137,12.888443
17.392789,12.908894
17.694945,12.935631
17.999544,12.968657
18.306528,13.007972
18.615836,13.053575
18.927410,13.105464
19.241189,13.163632
19.557117,13.228073
19.875134,13.298779
20.195183,13.375739
20.517207,13.458939
20.841149,13.548364
21.166952,13.643999
21.494561,13.745824
21.823920,13.853818
22.154973,13.967957
22.487667,14.088217
22.821946,14.214569
23.157757,14.346985
23.495046,14.485431
23.833759,14.629874
24.173843,14.780277
24.515246,14.936600
24.857915,15.098804
25.201798,15.266843
25.546843,15.440672
25.892998,15.620242
26.240211,15.805502
26.588430,15.996398
26.937603,16.192875
