x_mm,y_mm
48.919479,37.213351
49.324049,37.854382
49.699991,38.485707
50.046083,39.106785
50.361173,39.717126
50.644191,40.316289
50.894156,40.903877
51.110184,41.479529
51.291491,42.042922
51.437403,42.593756
51.547358,43.131756
51.620905,43.656663
51.657711,44.168229
51.657555,44.666213
51.620331,45.150375
51.546044,45.620474
51.434806,46.076263
51.286834,46.517486
51.102447,46.943878
50.882057,47.355161
50.626165,47.751044
50.335358,48.131226
50.010302,48.495388
49.651733,48.843204
49.260458,49.174333
48.837344,49.488427
48.383312,49.785128
47.899338,50.064076
47.386441,50.324903
46.845682,50.567243
46.278159,50.790732
45.685002,50.995006
45.067368,51.179712
44.426441,51.344503
43.763423,51.489047
43.079537,51.613021
42.376016,51.716122
41.654110,51.798066
40.915074,51.858586
40.160171,51.897441
39.390668,51.914413
38.607836,51.909310
37.812942,51.881967
37.007254,51.832250
36.192036,51.760053
35.368546,51.665302
34.538034,51.547956
33.701744,51.408007
32.860907,51.245480
32.016743,51.060435
31.170462,50.852965
30.323255,50.623200
29.476302,50.371304
28.630763,50.097478
27.787782,49.801955
26.948483,49.485005
26.113970,49.146934
25.285326,48.788079
24.463613,48.408812
23.649866,48.009541
22.845101,47.590704
22.050304,47.152770
21.266439,46.696242
20.494439,46.221651
19.735214,45.729558
18.989641,45.220554
18.258571,44.695255
17.542824,44.154303
16.843189,43.598367
16.160425,43.028138
15.495258,42.444330
14.848383,41.847677
14.220463,41.238936
13.612125,40.618879
13.023965,39.988296
12.456546,39.347994
11.910396,38.698791
11.386008,38.041521
10.883843,37.377028
10.404327,36.706164
9.947850,36.029792
9.514771,35.348781
9.105412,34.664004
8.720063,33.976340
8.358980,33.286668
8.022385,32.595872
7.710468,31.904831
7.423385,31.214427
7.161261,30.525537
6.924188,29.839034
6.712228,29.155785
6.525413,28.476653
6.363742,27.802492
6.227187,27.134147
6.115691,26.472455
6.029169,25.818240
5.967508,25.172316
5.930569,24.535485
5.918188,23.908536
5.930176,23.292241
5.966318,22.687362
6.026378,22.094641
6.110099,21.514808
6.217200,20.948573
6.347380,20.396630
6.500321,19.859656
6.675683,19.338308
6.873112,18.833227
7.092235,18.345032
7.332664,17.874323
7.593996,17.421682
7.875816,16.987668
8.177694,16.572822
8.499189,16.177662
8.839851,15.802684
9.199217,15.448366
9.576818,15.115160
9.972175,14.803498
10.384804,14.513789
10.814213,14.246420
11.259907,14.001752
11.721385,13.780127
12.198144,13.581860
12.689679,13.407242
13.195483,13.256541
13.715047,13.130000
14.247866,13.027835
14.793432,12.950238
15.351242,12.897375
15.920794,12.869385
16.501591,12.866379
17.093137,12.888443
17.694945,12.935631
18.306528,13.007972
18.927410,13.105464
19.557117,13.228073
20.195183,13.375739
20.841149,13.548364
21.494561,13.745824
22.154973,13.967957
22.821946,14.214569
23.495046,14.485431
24.173843,14.780277
24.857915,15.098804
25.546843,15.440672
26.240211,15.805502
26.937603,16.192875
27.638606,16.602330
28.342803,17.033366
29.049775,17.485440
29.759097,17.957964
30.470334,18.450307
31.183042,18.961795
31.896760,19.491708
32.611011,20.039284
33.325297,20.603715
34.039095,21.184151
34.751853,21.779700
35.462986,22.389427
36.171874,23.012361
36.877854,23.647493
37.580223,24.293779
38.278226,24.950145
38.971059,25.615491
39.657866,26.288694
40.337733,26.968613
41.009689,27.654096
41.672706,28.343984
42.325697,29.037117
42.967520,29.732343
43.596976,30.428522
44.212818,31.124531
44.813751,31.819276
45.398440,32.511694
45.965517,33.200760
46.513587,33.885492
47.041240,34.564957
47.547060,35.238273
48.029633,35.904614
48.487563,36.563210
