x_mm,y_mm
33.000296,39.242811
33.290226,39.742755
33.572777,40.240152
33.847694,40.734823
34.114727,41.226596
34.373633,41.715308
34.624171,42.200801
34.866107,42.682927
35.099212,43.161540
35.323266,43.636507
35.538056,44.107698
35.743377,44.574991
35.939031,45.038268
36.124833,45.497422
36.300603,45.952346
36.466175,46.402944
36.621391,46.849122
36.766102,47.290792
36.900175,47.727870
37.023482,48.160278
37.135909,48.587940
37.237355,49.010785
37.327725,49.428745
37.406942,49.841755
37.474933,50.249752
37.531643,50.652678
37.577023,51.050474
37.611037,51.443085
37.633660,51.830455
37.644877,52.212533
37.644683,52.589266
37.633084,52.960604
37.610096,53.326496
37.575743,53.686892
37.530060,54.041742
37.473090,54.390999
37.404886,54.734611
37.325508,55.072530
37.235024,55.404707
37.133512,55.731092
37.021054,56.051634
36.897742,56.366284
36.763673,56.674991
36.618952,56.977704
36.463689,57.274372
36.298000,57.564942
36.122008,57.849363
35.935838,58.127583
35.739624,58.399547
35.533503,58.665205
35.317614,58.924501
35.092104,59.177383
34.857122,59.423798
34.612821,59.663692
34.359357,59.897012
34.096890,60.123703
33.825583,60.343715
33.545601,60.556992
33.257111,60.763484
32.960284,60.963139
32.655293,61.155904
32.342312,61.341730
32.021518,61.520566
31.693088,61.692364
31.357203,61.857074
31.014043,62.014650
30.663791,62.165045
30.306629,62.308215
29.942744,62.444116
29.572319,62.572705
29.195541,62.693940
28.812597,62.807783
28.423674,62.914196
28.028959,63.013141
27.628642,63.104583
27.222910,63.188491
26.811951,63.264831
26.395955,63.333576
25.975111,63.394697
25.549606,63.448169
25.119630,63.493968
24.685370,63.532074
24.247015,63.562465
23.804752,63.585127
23.358768,63.600042
22.909251,63.607200
22.456387,63.606589
22.000361,63.598202
21.541359,63.582032
21.079564,63.558077
20.615161,63.526335
20.148331,63.486809
19.679259,63.439502
19.208123,63.384420
18.735105,63.321574
18.260383,63.250973
17.784137,63.172633
17.306542,63.086570
16.827774,62.992804
16.348009,62.891355
15.867420,62.782249
15.386180,62.665512
14.904458,62.541174
14.422425,62.409266
13.940250,62.269824
13.458098,62.122884
12.976136,61.968487
12.494527,61.806675
12.013434,61.637492
11.533017,61.460985
11.053436,61.277206
10.574849,61.086205
10.097411,60.888039
9.621276,60.682764
9.146598,60.470440
8.673526,60.251129
8.202210,60.024897
7.732797,59.791809
7.265431,59.551935
6.800258,59.305347
6.337417,59.052119
5.877048,58.792327
5.419289,58.526049
4.964276,58.253366
4.512142,57.974361
4.063017,57.689118
3.617033,57.397725
3.174315,57.100271
2.734989,56.796846
2.299178,56.487544
1.867003,56.172458
1.438583,55.851687
1.014033,55.525329
0.593468,55.193484
0.177001,54.856254
-0.235260,54.513742
-0.643207,54.166055
-1.046733,53.813300
-1.445738,53.455584
-1.840120,53.093018
-2.229780,52.725713
-2.614623,52.353782
-2.994555,51.977340
-3.369484,51.596501
-3.739323,51.211383
-4.103983,50.822103
-4.463381,50.428780
-4.817435,50.031534
-5.166065,49.630486
-5.509194,49.225758
-5.846747,48.817472
-6.178651,48.405753
-6.504835,47.990725
-6.825233,47.572512
-7.139778,47.151242
-7.448406,46.727039
-7.751057,46.300031
-8.047672,45.870345
-8.338195,45.438110
-8.622570,45.003453
-8.900747,44.566503
-9.172675,44.127389
-9.438306,43.686240
-9.697596,43.243186
-9.950501,42.798355
-10.196979,42.351877
-10.436993,41.903882
-10.670505,41.454500
-10.897480,41.003859
-11.117887,40.552090
-11.331693,40.099321
-11.538872,39.645681
-11.739396,39.191300
-11.933240,38.736305
-12.120383,38.280826
-12.300803,37.824990
-12.474483,37.368924
-12.641404,36.912756
-12.801553,36.456612
-12.954915,36.000619
-13.101481,35.544902
-13.241239,35.089586
-13.374184,34.634797
-13.500308,34.180659
-13.619608,33.727294
-13.732081,33.274825
-13.837726,32.823376
-13.936544,32.373067
-14.028538,31.924020
-14.113711,31.476354
-14.192070,31.030189
-14.263621,30.585644
-14.328373,30.142838
-14.386337,29.701886
-14.437525,29.262907
-14.481949,28.826015
-14.519624,28.391327
-14.550567,27.958955
-14.574796,27.529014
-14.592329,27.101616
-14.603186,26.676874
-14.607390,26.254899
-14.604964,25.835800
-14.595932,25.419688
-14.580319,25.006671
-14.558154,24.596857
-14.529465,24.190354
-14.494280,23.787268
-14.452632,23.387704
-14.404552,22.991767
-14.350073,22.599562
-14.289231,22.211191
-14.222060,21.826757
-14.148599,21.446362
-14.068885,21.070105
-13.982958,20.698088
-13.890857,20.330410
-13.792625,19.967168
-13.688304,19.608461
-13.577938,19.254385
-13.461572,18.905037
-13.339251,18.560511
-13.211024,18.220902
-13.076937,17.886304
-12.937040,17.556810
-12.791383,17.232511
-12.640017,16.913498
-12.482993,16.599863
-12.320366,16.291694
-12.152188,15.989081
-11.978515,15.692111
-11.799402,15.400872
-11.614906,15.115449
-11.425085,14.835928
-11.229996,14.562394
-11.029699,14.294930
-10.824254,14.033619
-10.613721,13.778543
-10.398162,13.529783
-10.177639,13.287419
-9.952216,13.051531
-9.721955,12.822196
-9.486921,12.599493
-9.247179,12.383497
-9.002795,12.174284
-8.753834,11.971929
-8.500363,11.776504
-8.242449,11.588084
-7.980161,11.406738
-7.713566,11.232538
-7.442732,11.065553
-7.167729,10.905852
-6.888626,10.753501
-6.605493,10.608566
-6.318400,10.471114
-6.027416,10.341207
-5.732613,10.218908
-5.434061,10.104279
-5.131832,9.997380
-4.825995,9.898270
-4.516622,9.807006
-4.203785,9.723646
-3.887554,9.648244
-3.568000,9.580854
-3.245195,9.521529
-2.919209,9.470318
-2.590113,9.427272
-2.257979,9.392439
-1.922875,9.365865
-1.584873,9.347594
-1.244041,9.337671
-0.900451,9.336136
-0.554169,9.343030
-0.205267,9.358389
0.146190,9.382252
0.500132,9.414652
0.856493,9.455621
1.215206,9.505190
1.576205,9.563389
1.939425,9.630242
2.304801,9.705774
2.672270,9.790008
3.041767,9.882964
3.413232,9.984657
3.786601,10.095105
4.161814,10.214318
4.538811,10.342307
4.917533,10.479080
5.297922,10.624639
5.679920,10.778988
6.063471,10.942124
6.448518,11.114043
6.835008,11.294738
7.222886,11.484197
7.612099,11.682406
8.002595,11.889347
8.394322,12.104999
8.787230,12.329337
9.181269,12.562331
9.576389,12.803949
9.972542,13.054154
10.369679,13.312903
10.767754,13.580152
11.166718,13.855851
11.566526,14.139943
11.967130,14.432370
12.368483,14.733067
12.770540,15.041964
13.173254,15.358987
13.576577,15.684055
13.980462,16.017082
14.384861,16.357979
14.789725,16.706646
15.195004,17.062983
15.600648,17.426880
16.006604,17.798222
16.412817,18.176889
16.819232,18.562754
17.225791,18.955683
17.632432,19.355537
18.039095,19.762169
18.445711,20.175427
18.852213,20.595153
19.258527,21.021180
19.664577,21.453338
20.070283,21.891447
20.475559,22.335324
20.880318,22.784777
21.284463,23.239610
21.687895,23.699621
22.090510,24.164601
22.492197,24.634335
22.892838,25.108604
23.292310,25.587184
23.690485,26.069846
24.087224,26.556354
24.482387,27.046472
24.875821,27.539957
25.267371,28.036565
25.656871,28.536045
26.044150,29.038149
26.429029,29.542622
26.811322,30.049209
27.190835,30.557656
27.567369,31.067705
27.940715,31.579100
28.310660,32.091585
28.676985,32.604905
29.039461,33.118805
29.397858,33.633034
29.751939,34.147344
30.101460,34.661487
30.446175,35.175222
30.785834,35.688310
31.120182,36.200516
31.448965,36.711612
31.771922,37.221374
32.088794,37.729584
32.399320,38.236030
32.703241,38.740505
