x_mm,y_mm
51.166711,40.726220
51.511298,41.116314
51.846907,41.502158
52.173179,41.883693
52.489763,42.260873
52.796319,42.633661
53.092516,43.002029
53.378037,43.365962
53.652575,43.725448
53.915839,44.080487
54.167553,44.431085
54.407455,44.777253
54.635299,45.119010
54.850856,45.456379
55.053912,45.789386
55.244272,46.118063
55.421757,46.442444
55.586208,46.762562
55.737480,47.078455
55.875448,47.390160
56.000003,47.697714
56.111054,48.001154
56.208526,48.300514
56.292362,48.595828
56.362521,48.887127
56.418977,49.174439
56.461721,49.457790
56.490756,49.737200
56.506103,50.012688
56.507795,50.284268
56.495878,50.551949
56.470412,50.815737
56.431468,51.075632
56.379130,51.331629
56.313491,51.583721
56.234656,51.831894
56.142739,52.076129
56.037864,52.316405
55.920162,52.552694
55.789775,52.784964
55.646849,53.013180
55.491539,53.237301
55.324008,53.457284
55.144421,53.673081
54.952954,53.884640
54.749783,54.091907
54.535091,54.294823
54.309066,54.493329
54.071900,54.687360
53.823786,54.876850
53.564924,55.061732
53.295514,55.241934
53.015760,55.417385
52.725869,55.588012
52.426048,55.753738
52.116508,55.914488
51.797461,56.070186
51.469119,56.220753
51.131698,56.366112
50.785413,56.506185
50.430479,56.640892
50.067115,56.770157
49.695538,56.893901
49.315966,57.012048
48.928617,57.124520
48.533711,57.231243
48.131465,57.332142
47.722099,57.427143
47.305830,57.516174
46.882878,57.599165
46.453460,57.676048
46.017793,57.746754
45.576096,57.811219
45.128585,57.869380
44.675476,57.921174
44.216984,57.966544
43.753324,58.005433
43.284712,58.037785
42.811359,58.063550
42.333478,58.082677
41.851282,58.095121
41.364980,58.100837
40.874783,58.099784
40.380900,58.091923
39.883539,58.077218
39.382905,58.055638
38.879206,58.027151
38.372645,57.991732
37.863426,57.949356
37.351751,57.900003
36.837821,57.843655
36.321835,57.780297
35.803993,57.709919
35.284491,57.632512
34.763526,57.548071
34.241290,57.456595
33.717978,57.358084
33.193781,57.252543
32.668889,57.139980
32.143490,57.020407
31.617772,56.893836
31.091919,56.760287
30.566115,56.619779
30.040544,56.472337
29.515384,56.317987
28.990815,56.156760
28.467014,55.988689
27.944156,55.813811
27.422415,55.632166
26.901961,55.443796
26.382966,55.248747
25.865596,55.047069
25.350018,54.838813
24.836395,54.624034
24.324890,54.402791
23.815662,54.175144
23.308869,53.941157
22.804667,53.700897
22.303210,53.454433
21.804649,53.201839
21.309133,52.943188
20.816809,52.678559
20.327823,52.408033
19.842316,52.131692
19.360430,51.849622
18.882301,51.561912
18.408065,51.268652
17.937856,50.969935
17.471804,50.665857
17.010038,50.356516
16.552683,50.042012
16.099862,49.722448
15.651697,49.397927
15.208306,49.068556
14.769803,48.734444
14.336303,48.395702
13.907916,48.052442
13.484749,47.704778
13.066908,47.352826
12.654496,46.996705
12.247612,46.636533
11.846353,46.272432
11.450814,45.904523
11.061087,45.532932
10.677260,45.157784
10.299421,44.779204
9.927652,44.397321
9.562034,44.012265
9.202646,43.624164
8.849562,43.233150
8.502855,42.839355
8.162595,42.442912
7.828848,42.043954
7.501680,41.642617
7.181151,41.239034
6.867320,40.833342
6.560242,40.425677
6.259972,40.016175
5.966560,39.604973
5.680053,39.192208
5.400496,38.778018
5.127932,38.362540
4.862400,37.945912
4.603937,37.528272
4.352578,37.109756
4.108354,36.690503
3.871294,36.270649
3.641425,35.850331
3.418770,35.429687
3.203352,35.008853
2.995188,34.587964
2.794296,34.167156
2.600689,33.746563
2.414379,33.326320
2.235375,32.906560
2.063683,32.487417
1.899308,32.069021
1.742253,31.651505
1.592516,31.234999
1.450096,30.819633
1.314988,30.405534
1.187185,29.992831
1.066678,29.581650
0.953457,29.172117
0.847508,28.764356
0.748817,28.358490
0.657366,27.954642
0.573136,27.552933
0.496107,27.153482
0.426256,26.756408
0.363559,26.361828
0.307990,25.969859
0.259520,25.580615
0.218119,25.194209
0.183757,24.810755
0.156401,24.430361
0.136016,24.053139
0.122567,23.679196
0.116015,23.308638
0.116322,22.941572
0.123447,22.578101
0.137350,22.218327
0.157986,21.862353
0.185312,21.510277
0.219282,21.162199
0.259849,20.818215
0.306966,20.478420
0.360583,20.142911
0.420650,19.811778
0.487116,19.485114
0.559929,19.163009
0.639036,18.845551
0.724381,18.532829
0.815912,18.224928
0.913570,17.921933
1.017300,17.623927
1.127045,17.330992
1.242745,17.043209
1.364341,16.760658
1.491775,16.483416
1.624985,16.211561
1.763910,15.945168
1.908489,15.684310
2.058659,15.429062
2.214358,15.179494
2.375523,14.935677
2.542089,14.697680
2.713993,14.465571
2.891170,14.239417
3.073556,14.019283
3.261084,13.805233
3.453690,13.597330
3.651308,13.395636
3.853871,13.200212
4.061314,13.011116
4.273571,12.828406
4.490574,12.652141
4.712258,12.482374
4.938555,12.319161
5.169400,12.162555
5.404726,12.012609
5.644465,11.869372
5.888553,11.732894
6.136922,11.603225
6.389506,11.480411
6.646239,11.364498
6.907057,11.255532
7.171892,11.153555
7.440681,11.058611
7.713358,10.970740
7.989860,10.889983
8.270121,10.816377
8.554080,10.749961
8.841672,10.690771
9.132835,10.638841
9.427508,10.594206
9.725629,10.556897
10.027138,10.526946
10.331975,10.504383
10.640081,10.489234
10.951398,10.481529
11.265867,10.481291
11.583433,10.488546
11.904040,10.503315
12.227633,10.525621
12.554158,10.555483
12.883563,10.592919
13.215796,10.637945
13.550806,10.690578
13.888544,10.750830
14.228962,10.818712
14.572012,10.894237
14.917650,10.977410
15.265830,11.068240
15.616509,11.166731
15.969646,11.272885
16.325200,11.386704
16.683132,11.508186
17.043404,11.637328
17.405982,11.774125
17.770828,11.918569
18.137912,12.070651
18.507201,12.230357
18.878664,12.397675
19.252274,12.572587
19.628003,12.755072
20.005826,12.945110
20.385719,13.142674
20.767659,13.347736
21.151624,13.560267
21.537596,13.780231
21.925557,14.007592
22.315489,14.242309
22.707376,14.484338
23.101205,14.733632
23.496963,14.990140
23.894637,15.253806
24.294216,15.524572
24.695691,15.802376
25.099053,16.087149
25.504292,16.378820
25.911400,16.677314
26.320370,16.982550
26.731195,17.294443
27.143866,17.612902
27.558377,17.937832
27.974719,18.269132
28.392883,18.606697
28.812860,18.950415
29.234639,19.300169
29.658207,19.655837
30.083551,20.017289
30.510655,20.384392
30.939498,20.757004
31.370061,21.134978
31.802319,21.518162
32.236242,21.906396
32.671800,22.299515
33.108953,22.697346
33.547662,23.099710
33.987878,23.506424
34.429549,23.917295
34.872615,24.332127
35.317009,24.750716
35.762657,25.172852
36.209479,25.598320
36.657382,26.026900
37.106270,26.458365
37.556032,26.892484
38.006551,27.329020
38.457699,27.767734
38.909334,28.208380
39.361308,28.650711
39.813457,29.094475
40.265608,29.539420
40.717574,29.985289
41.169156,30.431825
41.620144,30.878772
42.070313,31.325870
42.519427,31.772863
42.967235,32.219496
43.413475,32.665515
43.857873,33.110669
44.300141,33.554710
44.739981,33.997397
45.177081,34.438492
45.611120,34.877763
46.041767,35.314986
46.468678,35.749943
46.891505,36.182425
47.309888,36.612231
47.723462,37.039170
48.131854,37.463060
48.534687,37.883730
48.931581,38.301020
49.322153,38.714780
49.706017,39.124873
50.082787,39.531173
50.452080,39.933564
50.813515,40.331943
