x_mm,y_mm
44.476356,40.038976
44.743693,40.451333
45.003015,40.861035
45.254096,41.267975
45.496721,41.672054
45.730678,42.073174
45.955761,42.471244
46.171775,42.866179
46.378527,43.257896
46.575838,43.646318
46.763533,44.031371
46.941447,44.412987
47.109425,44.791099
47.267321,45.165644
47.414997,45.536563
47.552327,45.903800
47.679195,46.267299
47.795492,46.627010
47.901123,46.982880
47.996002,47.334863
48.080051,47.682910
48.153205,48.026975
48.215408,48.367014
48.266615,48.702981
48.306790,49.034833
48.335908,49.362524
48.353952,49.686012
48.360916,50.005252
48.356803,50.320199
48.341625,50.630808
48.315403,50.937035
48.278167,51.238831
48.229955,51.536152
48.170813,51.828947
48.100796,52.117169
48.019965,52.400768
47.928390,52.679692
47.826147,52.953890
47.713320,53.223308
47.589997,53.487893
47.456275,53.747590
47.312256,54.002342
47.158047,54.252092
46.993760,54.496783
46.819515,54.736356
46.635434,54.970751
46.441645,55.199908
46.238279,55.423766
46.025473,55.642264
45.803367,55.855341
45.572104,56.062933
45.331832,56.264980
45.082701,56.461417
44.824865,56.652182
44.558480,56.837214
44.283705,57.016449
44.000702,57.189826
43.709634,57.357282
43.410667,57.518757
43.103970,57.674189
42.789712,57.823519
42.468065,57.966687
42.139201,58.103635
41.803296,58.234305
41.460525,58.358642
41.111065,58.476590
40.755094,58.588094
40.392791,58.693103
40.024335,58.791566
39.649908,58.883432
39.269691,58.968654
38.883864,59.047186
38.492611,59.118982
38.096114,59.184001
37.694556,59.242201
37.288119,59.293544
36.876987,59.337993
36.461343,59.375513
36.041371,59.406071
35.617253,59.429638
35.189172,59.446185
34.757311,59.455687
34.321853,59.458120
33.882980,59.453464
33.440873,59.441700
32.995714,59.422811
32.547683,59.396786
32.096961,59.363612
31.643727,59.323282
31.188160,59.275791
30.730439,59.221134
30.270741,59.159313
29.809242,59.090329
29.346118,59.014188
28.881544,58.930897
28.415694,58.840469
27.948741,58.742915
27.480856,58.638253
27.012211,58.526501
26.542973,58.407681
26.073313,58.281819
25.603397,58.148942
25.133391,58.009080
24.663459,57.862266
24.193765,57.708537
23.724469,57.547931
23.255734,57.380491
22.787717,57.206259
22.320575,57.025284
21.854464,56.837615
21.389539,56.643306
20.925951,56.442412
20.463852,56.234990
20.003391,56.021102
19.544714,55.800812
19.087967,55.574185
18.633294,55.341290
18.180836,55.102200
17.730734,54.856987
17.283125,54.605728
16.838145,54.348503
16.395927,54.085392
15.956605,53.816480
15.520307,53.541854
15.087161,53.261601
14.657293,52.975812
14.230826,52.684582
13.807880,52.388005
13.388576,52.086179
12.973029,51.779204
12.561355,51.467181
12.153664,51.150215
11.750068,50.828410
11.350672,50.501876
10.955583,50.170721
10.564902,49.835056
10.178731,49.494996
9.797167,49.150653
9.420305,48.802146
9.048238,48.449590
8.681056,48.093107
8.318849,47.732817
7.961700,47.368840
7.609694,47.001302
7.262910,46.630326
6.921427,46.256038
6.585320,45.878565
6.254662,45.498034
5.929523,45.114573
5.609972,44.728313
5.296074,44.339382
4.987892,43.947912
4.685486,43.554034
4.388915,43.157880
4.098234,42.759582
3.813495,42.359272
3.534751,41.957084
3.262048,41.553151
2.995433,41.147605
2.734949,40.740580
2.480638,40.332209
2.232537,39.922625
1.990684,39.511961
1.755112,39.100350
1.525854,38.687924
1.302938,38.274815
1.086393,37.861155
0.876243,37.447074
0.672512,37.032703
0.475220,36.618172
0.284387,36.203610
0.100030,35.789145
-0.077838,35.374904
-0.249202,34.961015
-0.414052,34.547602
-0.572379,34.134792
-0.724176,33.722707
-0.869438,33.311469
-1.008160,32.901202
-1.140341,32.492025
-1.265980,32.084058
-1.385081,31.677418
-1.497644,31.272223
-1.603676,30.868589
-1.703182,30.466629
-1.796171,30.066458
-1.882652,29.668186
-1.962635,29.271926
-2.036132,28.877785
-2.103158,28.485872
-2.163726,28.096293
-2.217854,27.709155
-2.265558,27.324560
-2.306858,26.942612
-2.341773,26.563412
-2.370324,26.187060
-2.392533,25.813654
-2.408425,25.443293
-2.418023,25.076072
-2.421353,24.712086
-2.418441,24.351430
-2.409316,23.994194
-2.394005,23.640472
-2.372539,23.290351
-2.344947,22.943922
-2.311262,22.601272
-2.271516,22.262487
-2.225741,21.927653
-2.173973,21.596854
-2.116246,21.270172
-2.052596,20.947691
-1.983060,20.629491
-1.907675,20.315651
-1.826480,20.006252
-1.739513,19.701370
-1.646816,19.401083
-1.548427,19.105467
-1.444388,18.814596
-1.334743,18.528545
-1.219532,18.247387
-1.098800,17.971194
-0.972591,17.700037
-0.840950,17.433988
-0.703922,17.173115
-0.561554,16.917487
-0.413891,16.667172
-0.260981,16.422237
-0.102873,16.182749
0.060385,15.948771
0.228744,15.720370
0.402155,15.497609
0.580567,15.280550
0.763929,15.069255
0.952191,14.863786
1.145300,14.664203
1.343205,14.470565
1.545852,14.282931
1.753188,14.101358
1.965161,13.925905
2.181716,13.756625
2.402799,13.593576
2.628354,13.436810
2.858328,13.286382
3.092665,13.142343
3.331308,13.004745
3.574203,12.873640
3.821293,12.749076
4.072521,12.631101
4.327831,12.519765
4.587165,12.415112
4.850468,12.317189
5.117681,12.226041
5.388748,12.141709
5.663611,12.064238
5.942212,11.993668
6.224495,11.930039
6.510400,11.873389
6.799872,11.823756
7.092853,11.781177
7.389284,11.745687
7.689109,11.717319
7.992270,11.696105
8.298711,11.682076
8.608373,11.675263
8.921201,11.675692
9.237138,11.683391
9.556127,11.698383
9.878113,11.720694
10.203039,11.750344
10.530849,11.787353
10.861489,11.831740
11.194904,11.883521
11.531038,11.942711
11.869838,12.009322
12.211250,12.083365
12.555220,12.164850
12.901696,12.253783
13.250624,12.350168
13.601953,12.454008
13.955630,12.565304
14.311604,12.684052
14.669824,12.810250
15.030240,12.943889
15.392801,13.084960
15.757458,13.233452
16.124161,13.389350
16.492862,13.552635
16.863511,13.723289
17.236061,13.901288
17.610462,14.086606
17.986669,14.279213
18.364632,14.479078
18.744305,14.686164
19.125640,14.900434
19.508589,15.121845
19.893107,15.350351
20.279145,15.585904
20.666655,15.828450
21.055590,16.077932
21.445903,16.334292
21.837543,16.597463
22.230463,16.867378
22.624612,17.143966
23.019940,17.427148
23.416395,17.716845
23.813925,18.012973
24.212475,18.315441
24.611992,18.624156
25.012418,18.939021
25.413695,19.259933
25.815762,19.586784
26.218558,19.919464
26.622018,20.257856
27.026075,20.601839
27.430659,20.951289
27.835699,21.306075
28.241117,21.666063
28.646837,22.031114
29.052775,22.401084
29.458846,22.775825
29.864960,23.155185
30.271022,23.539007
30.676934,23.927131
31.082594,24.319392
31.487893,24.715620
31.892720,25.115644
32.296955,25.519287
32.700477,25.926370
33.103155,26.336710
33.504857,26.750121
33.905441,27.166416
34.304761,27.585402
34.702667,28.006888
35.098999,28.430678
35.493593,28.856577
35.886280,29.284385
36.276882,29.713905
36.665217,30.144938
37.051097,30.577285
