x_mm,y_mm
44.476356,40.038976
45.003015,40.861035
45.496721,41.672054
45.955761,42.471244
46.378527,43.257896
46.763533,44.031371
47.109425,44.791099
47.414997,45.536563
47.679195,46.267299
47.901123,46.982880
48.080051,47.682910
48.215408,48.367014
48.306790,49.034833
48.353952,49.686012
48.356803,50.320199
48.315403,50.937035
48.229955,51.536152
48.100796,52.117169
47.928390,52.679692
47.713320,53.223308
47.456275,53.747590
47.158047,54.252092
46.819515,54.736356
46.441645,55.199908
46.025473,55.642264
45.572104,56.062933
45.082701,56.461417
44.558480,56.837214
44.000702,57.189826
43.410667,57.518757
42.789712,57.823519
42.139201,58.103635
41.460525,58.358642
40.755094,58.588094
40.024335,58.791566
39.269691,58.968654
38.492611,59.118982
37.694556,59.242201
36.876987,59.337993
36.041371,59.406071
35.189172,59.446185
34.321853,59.458120
33.440873,59.441700
32.547683,59.396786
31.643727,59.323282
30.730439,59.221134
29.809242,59.090329
28.881544,58.930897
27.948741,58.742915
27.012211,58.526501
26.073313,58.281819
25.133391,58.009080
24.193765,57.708537
23.255734,57.380491
22.320575,57.025284
21.389539,56.643306
20.463852,56.234990
19.544714,55.800812
18.633294,55.341290
17.730734,54.856987
16.838145,54.348503
15.956605,53.816480
15.087161,53.261601
14.230826,52.684582
13.388576,52.086179
12.561355,51.467181
11.750068,50.828410
10.955583,50.170721
10.178731,49.494996
9.420305,48.802146
8.681056,48.093107
7.961700,47.368840
7.262910,46.630326
6.585320,45.878565
5.929523,45.114573
5.296074,44.339382
4.685486,43.554034
4.098234,42.759582
3.534751,41.957084
2.995433,41.147605
2.480638,40.332209
1.990684,39.511961
1.525854,38.687924
1.086393,37.861155
0.672512,37.032703
0.284387,36.203610
-0.077838,35.374904
-0.414052,34.547602
-0.724176,33.722707
-1.008160,32.901202
-1.265980,32.084058
-1.497644,31.272223
-1.703182,30.466629
-1.882652,29.668186
-2.036132,28.877785
-2.163726,28.096293
-2.265558,27.324560
-2.341773,26.563412
-2.392533,25.813654
-2.418023,25.076072
-2.418441,24.351430
-2.394005,23.640472
-2.344947,22.943922
-2.271516,22.262487
-2.173973,21.596854
-2.052596,20.947691
-1.907675,20.315651
-1.739513,19.701370
-1.548427,19.105467
-1.334743,18.528545
-1.098800,17.971194
-0.840950,17.433988
-0.561554,16.917487
-0.260981,16.422237
0.060385,15.948771
0.402155,15.497609
0.763929,15.069255
1.145300,14.664203
1.545852,14.282931
1.965161,13.925905
2.402799,13.593576
2.858328,13.286382
3.331308,13.004745
3.821293,12.749076
4.327831,12.519765
4.850468,12.317189
5.388748,12.141709
5.942212,11.993668
6.510400,11.873389
7.092853,11.781177
7.689109,11.717319
8.298711,11.682076
8.921201,11.675692
9.556127,11.698383
10.203039,11.750344
10.861489,11.831740
11.531038,11.942711
12.211250,12.083365
12.901696,12.253783
13.601953,12.454008
14.311604,12.684052
15.030240,12.943889
15.757458,13.233452
16.492862,13.552635
17.236061,13.901288
17.986669,14.279213
18.744305,14.686164
19.508589,15.121845
20.279145,15.585904
21.055590,16.077932
21.837543,16.597463
22.624612,17.143966
23.416395,17.716845
24.212475,18.315441
25.012418,18.939021
25.815762,19.586784
26.622018,20.257856
27.430659,20.951289
28.241117,21.666063
29.052775,22.401084
29.864960,23.155185
30.676934,23.927131
31.487893,24.715620
32.296955,25.519287
33.103155,26.336710
33.905441,27.166416
34.702667,28.006888
35.493593,28.856577
36.276882,29.713905
37.051097,30.577285
37.814707,31.445121
38.566088,32.315831
39.303530,33.187849
40.025246,34.059645
40.729383,34.929731
41.414031,35.796673
42.077242,36.659103
42.717048,37.515723
43.331470,38.365317
43.918549,39.206750
